BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
1.5 ,4.7 ,2.391 ,2.240 ,1.768 ,0.168 ,0.139 ,0.105 ,0.067 ,29.1 
2.0 ,4.9 ,2.297 ,2.155 ,1.638 ,0.066 ,0.107 ,0.082 ,0.043 ,35.2 
1.7 ,4.4 ,2.507 ,2.344 ,1.925 ,0.056 ,0.102 ,0.071 ,0.049 ,29.9 
1.6 ,4.4 ,2.751 ,2.648 ,2.247 ,0.058 ,0.116 ,0.093 ,0.074 ,23.8 
2.2 ,5.0 ,3.475 ,3.316 ,2.879 ,0.082 ,0.117 ,0.072 ,0.054 ,50.1 
2.8 ,5.7 ,4.100 ,3.848 ,3.100 ,0.195 ,0.176 ,0.125 ,0.100 ,77.3 
3.6 ,6.7 ,4.067 ,3.775 ,3.016 ,0.168 ,0.179 ,0.110 ,0.079 ,89.8 
3.1 ,6.7 ,3.653 ,3.220 ,2.669 ,0.251 ,0.167 ,0.114 ,0.076 ,56.3 
2.9 ,6.1 ,3.244 ,2.988 ,2.279 ,0.146 ,0.164 ,0.126 ,0.090 ,33.4 
2.7 ,6.6 ,3.032 ,2.789 ,2.064 ,0.172 ,0.188 ,0.157 ,0.121 ,29.0 
2.5 ,6.4 ,2.758 ,2.460 ,2.018 ,0.120 ,0.136 ,0.110 ,0.079 ,38.5 
1.5 ,6.3 ,2.693 ,2.433 ,1.870 ,0.082 ,0.157 ,0.107 ,0.084 ,20.1 
1.9 ,5.3 ,2.383 ,2.158 ,1.686 ,0.075 ,0.088 ,0.047 ,0.033 ,52.3 
2.2 ,5.8 ,1.892 ,1.734 ,1.342 ,0.054 ,0.165 ,0.061 ,0.042 ,44.8 
1.8 ,5.2 ,2.288 ,2.128 ,1.828 ,0.055 ,0.100 ,0.070 ,0.060 ,30.7 
1.4 ,4.9 ,2.930 ,2.645 ,2.283 ,0.080 ,0.149 ,0.125 ,0.104 ,14.2 
1.8 ,5.0 ,3.398 ,3.247 ,2.724 ,0.170 ,0.133 ,0.099 ,0.087 ,36.6 
2.3 ,5.9 ,4.127 ,3.852 ,2.802 ,0.509 ,0.146 ,0.096 ,0.082 ,43.3 
2.8 ,6.3 ,4.100 ,3.574 ,2.846 ,0.422 ,0.148 ,0.080 ,0.065 ,58.4 
1.5 ,5.0 ,3.768 ,3.584 ,3.114 ,0.222 ,0.132 ,0.079 ,0.054 ,9.7 
1.6 ,4.8 ,2.646 ,2.434 ,1.985 ,0.061 ,0.096 ,0.040 ,0.032 ,17.4 
1.8 ,5.3 ,2.405 ,2.173 ,1.639 ,0.089 ,0.083 ,0.040 ,0.027 ,21.3 
1.8 ,5.6 ,2.260 ,2.053 ,1.610 ,0.070 ,0.076 ,0.040 ,0.029 ,30.2 
1.7 ,5.9 ,2.514 ,2.239 ,1.647 ,0.050 ,0.126 ,0.056 ,0.046 ,20.2 
1.9 ,7.5 ,2.240 ,1.993 ,1.594 ,0.071 ,0.168 ,0.069 ,0.051 ,20.2 
1.2 ,5.9 ,2.453 ,2.258 ,1.921 ,0.034 ,0.124 ,0.077 ,0.058 ,18.7 
1.6 ,4.9 ,2.899 ,2.725 ,2.494 ,0.023 ,0.107 ,0.062 ,0.054 ,32.4 
1.3 ,4.5 ,3.249 ,3.099 ,2.766 ,0.058 ,0.105 ,0.063 ,0.053 ,19.8 
1.5 ,4.9 ,3.862 ,3.641 ,3.364 ,0.081 ,0.112 ,0.059 ,0.045 ,18.1 
1.3 ,4.8 ,4.059 ,3.897 ,3.542 ,0.186 ,0.124 ,0.078 ,0.067 ,14.5 
1.7 ,5.5 ,3.890 ,3.700 ,3.189 ,0.375 ,0.147 ,0.079 ,0.060 ,20.1 
1.9 ,6.1 ,4.173 ,3.816 ,3.246 ,0.312 ,0.130 ,0.062 ,0.051 ,28.2 
2.7 ,6.1 ,3.275 ,3.010 ,2.606 ,0.114 ,0.108 ,0.042 ,0.030 ,41.9 
1.8 ,6.1 ,3.057 ,2.879 ,2.625 ,0.111 ,0.122 ,0.044 ,0.034 ,15.3 
1.7 ,6.3 ,2.518 ,2.308 ,1.988 ,0.074 ,0.140 ,0.039 ,0.029 ,15.8 
1.4 ,6.3 ,2.625 ,2.447 ,2.101 ,0.049 ,0.150 ,0.059 ,0.052 ,11.2 
1.2 ,6.0 ,2.177 ,2.020 ,1.689 ,0.052 ,0.116 ,0.060 ,0.051 ,7.8 
1.5 ,5.2 ,2.293 ,2.137 ,1.816 ,0.079 ,0.075 ,0.041 ,0.034 ,23.3 
1.6 ,4.9 ,2.508 ,2.376 ,1.889 ,0.064 ,0.072 ,0.046 ,0.037 ,19.3 
1.5 ,5.1 ,2.936 ,2.777 ,2.192 ,0.053 ,0.097 ,0.053 ,0.044 ,28.8 
1.7 ,4.7 ,3.554 ,3.262 ,2.857 ,0.053 ,0.103 ,0.061 ,0.051 ,36.1 
1.9 ,5.0 ,3.938 ,3.721 ,3.040 ,0.108 ,0.103 ,0.070 ,0.054 ,36.5 
2.3 ,5.8 ,3.683 ,3.409 ,2.959 ,0.103 ,0.083 ,0.040 ,0.028 ,62.4 
3.2 ,6.9 ,3.594 ,3.221 ,2.684 ,0.092 ,0.087 ,0.040 ,0.022 ,62.3 
2.7 ,5.7 ,3.100 ,2.891 ,2.223 ,0.124 ,0.079 ,0.040 ,0.027 ,26.4 
2.1 ,5.4 ,2.505 ,2.289 ,1.996 ,0.074 ,0.056 ,0.028 ,0.014 ,18.0 
1.8 ,5.4 ,2.255 ,2.082 ,1.700 ,0.129 ,0.044 ,0.022 ,0.010 ,17.6 
2.3 ,7.1 ,2.560 ,2.366 ,2.077 ,0.084 ,0.105 ,0.059 ,0.036 ,22.2 
1.9 ,6.5 ,2.333 ,2.120 ,1.757 ,0.071 ,0.107 ,0.059 ,0.045 ,14.3 
1.4 ,7.0 ,2.568 ,2.102 ,2.034 ,0.047 ,0.120 ,0.061 ,0.030 ,8.9 
1.7 ,5.2 ,2.664 ,2.419 ,2.319 ,0.043 ,0.062 ,0.034 ,0.016 ,19.4 
1.5 ,4.7 ,2.688 ,2.533 ,2.383 ,0.038 ,0.030 ,0.011 ,0.004 ,17.5 
1.6 ,4.5 ,3.025 ,2.901 ,2.758 ,0.109 ,0.031 ,0.014 ,0.006 ,13.6 
1.7 ,4.2 ,3.383 ,3.244 ,2.953 ,0.225 ,0.033 ,0.014 ,0.010 ,12.1 
1.7 ,4.8 ,3.241 ,3.087 ,2.816 ,0.176 ,0.049 ,0.026 ,0.044 ,20.2 
2.8 ,5.7 ,3.141 ,2.911 ,2.695 ,0.164 ,0.043 ,0.017 ,0.004 ,45.2 
2.6 ,5.0 ,2.925 ,2.738 ,2.444 ,0.090 ,0.042 ,0.011 ,0.003 ,24.5 
1.9 ,4.8 ,2.486 ,2.352 ,2.017 ,0.122 ,0.036 ,0.017 ,0.008 ,9.3 
2.2 ,6.0 ,2.511 ,2.342 ,1.809 ,0.128 ,0.056 ,0.035 ,0.016 ,23.5 
2.0 ,5.7 ,2.541 ,2.393 ,2.019 ,0.092 ,0.084 ,0.047 ,0.032 ,21.9 
2.6 ,6.2 ,2.083 ,1.889 ,1.420 ,0.077 ,0.066 ,0.037 ,0.018 ,28.6 
2.5 ,6.1 ,2.008 ,1.795 ,1.415 ,0.089 ,0.063 ,0.030 ,0.009 ,33.8 
2.1 ,5.8 ,2.432 ,2.291 ,1.931 ,0.058 ,0.067 ,0.030 ,0.018 ,40.7 
1.7 ,5.0 ,2.739 ,2.607 ,1.855 ,0.077 ,0.056 ,0.027 ,0.012 ,22.2 
1.7 ,4.0 ,3.150 ,3.026 ,2.173 ,0.095 ,0.045 ,0.025 ,0.006 ,17.9 
1.9 ,3.9 ,3.613 ,3.425 ,2.854 ,0.067 ,0.034 ,0.019 ,0.004 ,19.4 
2.2 ,4.9 ,3.942 ,3.759 ,3.095 ,0.157 ,0.038 ,0.020 ,0.002 ,24.3 
2.7 ,5.7 ,3.928 ,3.737 ,3.181 ,0.110 ,0.036 ,0.014 ,0.005 ,26.5 
2.4 ,5.3 ,3.429 ,3.238 ,2.618 ,0.125 ,0.043 ,0.023 ,0.007 ,16.1 
2.3 ,5.4 ,2.721 ,2.566 ,2.015 ,0.151 ,0.044 ,0.024 ,0.012 ,18.0 
2.5 ,5.5 ,2.332 ,2.111 ,1.329 ,0.168 ,0.032 ,0.015 ,0.005 ,26.1 
2.5 ,5.9 ,1.773 ,1.643 ,0.965 ,0.196 ,0.034 ,0.019 ,0.011 ,23.3 
2.0 ,6.8 ,2.458 ,2.322 ,1.650 ,0.149 ,0.097 ,0.054 ,0.030 ,15.8 
2.3 ,6.6 ,2.954 ,2.801 ,2.248 ,0.105 ,0.053 ,0.029 ,0.017 ,32.4 
1.9 ,5.7 ,2.644 ,2.519 ,1.924 ,0.121 ,0.062 ,0.038 ,0.026 ,24.1 
2.0 ,5.5 ,2.848 ,2.746 ,2.312 ,0.123 ,0.052 ,0.033 ,0.012 ,36.7 
2.0 ,5.4 ,2.895 ,2.781 ,2.442 ,0.099 ,0.033 ,0.019 ,0.007 ,27.6 
1.6 ,4.9 ,3.449 ,3.346 ,2.698 ,0.137 ,0.022 ,0.011 ,0.007 ,12.6 
1.9 ,5.1 ,3.369 ,3.262 ,2.649 ,0.130 ,0.024 ,0.012 ,0.007 ,19.6 
2.2 ,5.3 ,3.410 ,3.181 ,2.644 ,0.117 ,0.025 ,0.012 ,0.005 ,21.2 
2.1 ,5.1 ,2.788 ,2.667 ,2.099 ,0.124 ,0.033 ,0.017 ,0.008 ,19.8 
2.1 ,5.3 ,2.213 ,2.089 ,1.596 ,0.092 ,0.035 ,0.017 ,0.006 ,19.5 
2.3 ,6.7 ,2.276 ,1.875 ,1.212 ,0.096 ,0.026 ,0.199 ,0.004 ,26.7 
2.4 ,6.4 ,2.100 ,1.972 ,1.420 ,0.137 ,0.050 ,0.032 ,0.020 ,23.9 
2.6 ,7.2 ,1.781 ,1.623 ,1.042 ,0.090 ,0.056 ,0.032 ,0.019 ,23.2 
2.2 ,7.2 ,1.877 ,1.732 ,1.124 ,0.085 ,0.055 ,0.033 ,0.017 ,31.2 
2.0 ,6.8 ,1.676 ,1.574 ,0.982 ,0.065 ,0.035 ,0.020 ,0.006 ,22.2 
1.4 ,6.1 ,2.140 ,2.030 ,1.415 ,0.151 ,0.030 ,0.020 ,0.010 ,12.5 
1.4 ,5.6 ,2.610 ,2.497 ,1.916 ,0.115 ,0.022 ,0.014 ,0.006 ,14.6 
1.6 ,5.4 ,3.080 ,2.952 ,2.351 ,0.152 ,0.022 ,0.015 ,0.004 ,14.3 
1.8 ,5.7 ,3.572 ,3.463 ,2.844 ,0.268 ,0.027 ,0.015 ,0.007 ,16.5 
2.5 ,6.4 ,3.962 ,3.833 ,3.025 ,0.225 ,0.041 ,0.025 ,0.013 ,20.5 
2.3 ,5.9 ,3.153 ,3.035 ,2.534 ,0.118 ,0.035 ,0.021 ,0.006 ,16.0 
2.2 ,6.1 ,2.383 ,2.295 ,1.805 ,0.096 ,0.030 ,0.019 ,0.004 ,22.4 
2.2 ,6.6 ,2.067 ,1.901 ,1.293 ,0.141 ,0.033 ,0.020 ,0.005 ,18.4 
2.7 ,8.4 ,2.867 ,2.668 ,2.069 ,0.123 ,0.093 ,0.058 ,0.042 ,24.1 
2.7 ,7.9 ,2.353 ,2.047 ,1.397 ,0.057 ,0.050 ,0.024 ,0.006 ,28.7 
2.1 ,7.6 ,2.622 ,2.488 ,1.920 ,0.091 ,0.071 ,0.048 ,0.038 ,18.7 
1.9 ,7.3 ,2.711 ,2.576 ,2.065 ,0.055 ,0.056 ,0.036 ,0.028 ,28.4 
1.6 ,6.1 ,2.625 ,2.529 ,2.020 ,0.038 ,0.022 ,0.010 ,0.003 ,28.9 
1.4 ,5.5 ,3.038 ,2.924 ,2.324 ,0.070 ,0.022 ,0.012 ,0.005 ,10.3 
1.8 ,5.7 ,3.263 ,3.153 ,2.712 ,0.077 ,0.022 ,0.012 ,0.004 ,19.2 
2.1 ,5.9 ,3.378 ,3.232 ,2.731 ,0.110 ,0.022 ,0.011 ,0.003 ,19.4 
2.5 ,6.2 ,3.354 ,3.207 ,2.702 ,0.108 ,0.026 ,0.013 ,0.002 ,21.3 
2.2 ,5.9 ,2.917 ,2.767 ,2.133 ,0.102 ,0.029 ,0.015 ,0.003 ,18.1 
2.0 ,5.7 ,2.474 ,2.269 ,1.631 ,0.094 ,0.024 ,0.014 ,0.004 ,12.8 
2.3 ,6.9 ,1.890 ,1.699 ,1.087 ,0.090 ,0.033 ,0.015 ,0.003 ,23.1 
2.2 ,7.3 ,2.054 ,1.861 ,1.086 ,0.133 ,0.063 ,0.034 ,0.024 ,25.8 
2.0 ,7.3 ,2.668 ,2.461 ,1.812 ,0.091 ,0.068 ,0.045 ,0.032 ,24.7 
2.2 ,6.7 ,2.246 ,2.071 ,1.558 ,0.065 ,0.039 ,0.018 ,0.007 ,34.3 
1.7 ,6.1 ,2.133 ,1.998 ,1.426 ,0.057 ,0.030 ,0.013 ,0.004 ,25.6 
1.7 ,5.9 ,2.514 ,2.358 ,1.630 ,0.055 ,0.030 ,0.015 ,0.004 ,18.4 
1.7 ,5.5 ,3.081 ,2.892 ,2.068 ,0.097 ,0.020 ,0.012 ,0.002 ,13.6 
1.8 ,5.6 ,3.680 ,3.443 ,2.600 ,0.187 ,0.026 ,0.014 ,0.002 ,15.9 
2.4 ,6.2 ,3.749 ,3.515 ,2.717 ,0.145 ,0.022 ,0.009 ,0.001 ,25.9 
2.6 ,7.1 ,3.782 ,3.540 ,2.896 ,0.150 ,0.032 ,0.013 ,0.003 ,36.1 
2.5 ,6.8 ,3.374 ,3.184 ,2.712 ,0.058 ,0.032 ,0.013 ,0.002 ,31.3 
2.0 ,6.4 ,2.719 ,2.592 ,2.111 ,0.082 ,0.034 ,0.014 ,0.006 ,26.3 
2.1 ,6.6 ,2.331 ,2.172 ,1.552 ,0.093 ,0.029 ,0.017 ,0.003 ,19.4 
2.4 ,8.8 ,2.837 ,2.640 ,2.065 ,0.090 ,0.079 ,0.045 ,0.034 ,25.0 
2.6 ,9.3 ,2.020 ,1.815 ,1.207 ,0.085 ,0.083 ,0.044 ,0.026 ,42.9 
1.7 ,7.4 ,2.670 ,2.491 ,2.039 ,0.066 ,0.086 ,0.056 ,0.048 ,17.1 
1.6 ,7.5 ,2.735 ,2.482 ,1.901 ,0.059 ,0.065 ,0.045 ,0.038 ,15.6 
1.8 ,6.6 ,2.945 ,2.849 ,2.156 ,0.043 ,0.030 ,0.014 ,0.002 ,34.6 
1.8 ,5.5 ,3.151 ,3.045 ,2.539 ,0.081 ,0.023 ,0.009 ,0.003 ,20.5 
1.9 ,5.3 ,3.517 ,3.372 ,2.918 ,0.113 ,0.023 ,0.011 ,0.004 ,19.5 
2.3 ,5.9 ,3.599 ,3.462 ,2.953 ,0.120 ,0.032 ,0.010 ,0.002 ,30.5 
2.5 ,6.3 ,3.468 ,3.346 ,2.846 ,0.075 ,0.023 ,0.008 ,0.000 ,28.0 
1.9 ,5.6 ,3.028 ,2.905 ,2.328 ,0.059 ,0.023 ,0.010 ,0.001 ,15.8 
1.7 ,5.5 ,2.301 ,2.133 ,1.597 ,0.094 ,0.033 ,0.019 ,0.004 ,11.5 
2.0 ,6.5 ,1.760 ,1.603 ,1.068 ,0.055 ,0.028 ,0.018 ,0.001 ,19.9 
2.1 ,7.3 ,2.178 ,1.946 ,1.161 ,0.090 ,0.063 ,0.042 ,0.020 ,22.2 
2.3 ,7.0 ,1.613 ,1.456 ,1.000 ,0.060 ,0.056 ,0.029 ,0.010 ,30.4 
1.9 ,7.0 ,1.821 ,1.689 ,1.276 ,0.071 ,0.072 ,0.039 ,0.026 ,29.9 
1.5 ,7.6 ,2.881 ,2.728 ,2.155 ,0.061 ,0.075 ,0.055 ,0.043 ,17.6 
1.3 ,5.9 ,2.698 ,2.586 ,2.236 ,0.076 ,0.028 ,0.016 ,0.005 ,22.0 
1.7 ,5.6 ,3.003 ,2.832 ,2.394 ,0.088 ,0.024 ,0.014 ,0.003 ,17.9 
1.3 ,3.3 ,3.887 ,3.472 ,3.017 ,0.142 ,0.163 ,0.125 ,0.092 ,4.0 
1.6 ,3.8 ,4.339 ,3.677 ,2.835 ,0.337 ,0.214 ,0.151 ,0.112 ,4.0 
1.9 ,4.1 ,3.966 ,3.386 ,2.780 ,0.316 ,0.145 ,0.107 ,0.096 ,8.6 
2.1 ,4.5 ,3.481 ,2.881 ,2.205 ,0.242 ,0.126 ,0.096 ,0.076 ,9.4 
2.2 ,4.9 ,3.334 ,2.735 ,1.955 ,0.110 ,0.123 ,0.091 ,0.074 ,14.5 
3.1 ,6.0 ,2.911 ,2.328 ,1.640 ,0.093 ,0.148 ,0.087 ,0.055 ,40.7 
1.6 ,5.5 ,3.784 ,3.158 ,2.505 ,0.065 ,0.138 ,0.090 ,0.057 ,20.6 
1.8 ,5.3 ,3.018 ,2.444 ,1.891 ,0.092 ,0.106 ,0.065 ,0.046 ,28.9 
1.3 ,4.0 ,2.790 ,2.291 ,1.950 ,0.064 ,0.094 ,0.065 ,0.040 ,7.5 
1.5 ,4.1 ,2.686 ,2.307 ,1.883 ,0.024 ,0.119 ,0.084 ,0.080 ,17.3 
1.6 ,4.1 ,2.906 ,2.467 ,2.120 ,0.031 ,0.113 ,0.089 ,0.078 ,15.9 
1.4 ,3.7 ,3.895 ,3.425 ,2.705 ,0.173 ,0.131 ,0.099 ,0.084 ,7.9 
1.3 ,3.9 ,4.219 ,3.638 ,2.957 ,0.447 ,0.122 ,0.090 ,0.076 ,6.6 
2.2 ,4.5 ,4.463 ,3.952 ,2.828 ,0.764 ,0.139 ,0.093 ,0.081 ,18.0 
3.5 ,6.3 ,4.279 ,3.663 ,2.263 ,0.330 ,0.175 ,0.101 ,0.073 ,57.4 
3.3 ,6.4 ,3.550 ,3.210 ,2.436 ,0.254 ,0.150 ,0.088 ,0.068 ,47.0 
1.9 ,5.0 ,3.257 ,3.162 ,2.403 ,0.108 ,0.108 ,0.070 ,0.063 ,17.2 
2.2 ,5.4 ,2.879 ,2.720 ,1.859 ,0.120 ,0.141 ,0.112 ,0.091 ,20.6 
1.7 ,5.5 ,2.742 ,2.631 ,1.974 ,0.061 ,0.124 ,0.078 ,0.061 ,13.9 
2.3 ,5.1 ,2.998 ,2.830 ,2.374 ,0.060 ,0.106 ,0.063 ,0.041 ,27.8 
1.3 ,3.5 ,2.722 ,2.566 ,2.344 ,0.039 ,0.106 ,0.085 ,0.074 ,11.3 
1.6 ,3.6 ,3.036 ,2.906 ,2.519 ,0.059 ,0.136 ,0.114 ,0.097 ,20.7 
1.6 ,4.0 ,2.969 ,2.828 ,2.361 ,0.057 ,0.144 ,0.118 ,0.103 ,14.5 
1.2 ,3.8 ,3.731 ,3.578 ,3.044 ,0.136 ,0.148 ,0.118 ,0.113 ,9.1 
1.5 ,3.8 ,4.535 ,4.405 ,3.911 ,0.268 ,0.174 ,0.145 ,0.141 ,8.5 
2.1 ,4.3 ,4.206 ,4.028 ,3.243 ,0.536 ,0.201 ,0.153 ,0.141 ,17.7 
2.3 ,4.9 ,3.778 ,3.534 ,2.793 ,0.253 ,0.168 ,0.117 ,0.104 ,22.4 
1.6 ,3.9 ,2.953 ,2.780 ,2.415 ,0.070 ,0.143 ,0.107 ,0.096 ,18.0 
2.1 ,4.6 ,2.552 ,2.307 ,1.602 ,0.090 ,0.248 ,0.200 ,0.178 ,29.0 
2.0 ,5.0 ,2.390 ,2.176 ,1.749 ,0.112 ,0.196 ,0.155 ,0.141 ,39.7 
1.5 ,4.6 ,2.814 ,2.697 ,2.367 ,0.071 ,0.137 ,0.106 ,0.098 ,13.9 
1.6 ,4.8 ,2.531 ,2.374 ,1.886 ,0.069 ,0.129 ,0.094 ,0.086 ,20.5 
1.2 ,4.1 ,2.704 ,2.605 ,2.241 ,0.088 ,0.093 ,0.070 ,0.059 ,3.6 
1.2 ,3.4 ,3.060 ,2.951 ,2.524 ,0.075 ,0.117 ,0.097 ,0.084 ,14.7 
1.4 ,3.4 ,3.743 ,3.557 ,3.090 ,0.077 ,0.146 ,0.126 ,0.114 ,11.6 
1.5 ,3.7 ,4.320 ,3.982 ,3.533 ,0.132 ,0.170 ,0.134 ,0.123 ,11.4 
1.5 ,3.6 ,4.455 ,4.045 ,3.234 ,0.367 ,0.154 ,0.137 ,0.119 ,5.3 
1.8 ,4.3 ,4.184 ,3.878 ,3.116 ,0.437 ,0.180 ,0.144 ,0.112 ,10.2 
3.0 ,5.8 ,3.626 ,3.273 ,2.959 ,0.144 ,0.176 ,0.122 ,0.095 ,48.1 
2.5 ,4.8 ,2.614 ,2.349 ,1.803 ,0.074 ,0.164 ,0.123 ,0.107 ,28.3 
2.4 ,5.8 ,2.246 ,1.922 ,1.423 ,0.145 ,0.151 ,0.116 ,0.087 ,31.0 
2.1 ,5.1 ,2.305 ,2.028 ,1.621 ,0.166 ,0.140 ,0.094 ,0.075 ,25.5 
1.9 ,5.2 ,2.040 ,1.766 ,1.420 ,0.066 ,0.133 ,0.096 ,0.083 ,29.8 
1.8 ,4.4 ,2.569 ,2.370 ,1.942 ,0.117 ,0.160 ,0.122 ,0.081 ,27.3 
2.1 ,4.9 ,2.138 ,1.937 ,1.632 ,0.075 ,0.121 ,0.105 ,0.089 ,31.0 
1.8 ,4.6 ,2.351 ,2.083 ,1.752 ,0.070 ,0.156 ,0.117 ,0.091 ,20.0 
1.8 ,5.0 ,3.093 ,2.929 ,2.627 ,0.049 ,0.169 ,0.139 ,0.112 ,25.5 
2.0 ,4.7 ,4.081 ,3.852 ,3.291 ,0.197 ,0.166 ,0.127 ,0.109 ,18.9 
2.2 ,4.9 ,4.788 ,4.618 ,3.274 ,0.558 ,0.182 ,0.146 ,0.122 ,22.4 
2.9 ,5.6 ,4.342 ,4.092 ,2.773 ,0.634 ,0.203 ,0.154 ,0.132 ,30.2 
3.2 ,6.0 ,3.713 ,3.459 ,2.399 ,0.396 ,0.184 ,0.126 ,0.100 ,44.3 
3.1 ,6.5 ,3.398 ,3.112 ,2.384 ,0.124 ,0.189 ,0.145 ,0.112 ,50.6 
2.3 ,5.8 ,2.867 ,2.592 ,1.825 ,0.170 ,0.173 ,0.144 ,0.110 ,22.8 
2.4 ,6.2 ,2.058 ,1.730 ,1.282 ,0.082 ,0.142 ,0.097 ,0.079 ,34.8 
2.0 ,5.2 ,2.555 ,2.301 ,1.897 ,0.160 ,0.132 ,0.090 ,0.067 ,18.4 
