year,season,spot,BOD,COD,TN,TP,TOC,SS,pH,EC,DO,Chla,Temperature,Turbidity,Transparency,LowWaterLevel,Inflow,Discharge,Reservoir
2017,winter,J1,0.6,2.9,0.742,0.01,2,1.2,7,77,10.9,2.7,7.2,2,4,7081.38,0.9,3.29,8747.31
2017,spring,J1,0.9,3,0.733,0.011,2.2,1.2,7.3,80,10.3,3.3,15.2,2,3.7,6870.54,0.84,3.42,7342.15
2017,summer,J1,0.8,3.1,0.628,0.014,2.4,1.3,7.4,84,6.7,2.5,21.7,2.8,3.8,6625.46,4.51,3.42,5857.62
2017,autumn,J1,0.8,3.2,0.613,0.014,2.3,1.7,6.8,91,7.9,3.8,13.5,3.6,2.6,6470.83,0.33,1.75,5018.5
2018,winter,J1,0.7,3,0.571,0.013,2.2,1.2,7,92,11.4,3.6,6.2,2.1,3.3,6264.54,2.98,1.99,3997.92
2018,spring,J1,0.9,3.1,0.878,0.014,2.4,1.8,7.4,98,9.2,4,14.9,1.8,3.2,6491.46,3.55,2.61,5128.08
2018,summer,J1,1.3,3.8,0.856,0.022,3,3.7,7.1,88,6.5,3.2,22.1,5,2.7,6719.92,4.82,3.3,6469.23
2018,autumn,J1,0.7,3.8,0.669,0.017,3.2,1.6,6.6,78,6.9,3.1,15.8,1.8,3,7289.69,1.16,1.9,10257
2019,winter,J1,0.6,3.4,0.64,0.014,2.5,1,7.2,76,11.1,2.9,7,0.7,3.6,7171.46,0.8,1.92,9380.08
2019,spring,J1,0.9,3.4,0.595,0.022,2.2,1.2,7.5,79,9.6,3.1,12.9,1.2,3.4,7163.69,4.02,2.68,9323.69
2019,summer,J1,1.1,3.8,0.636,0.017,2.9,2.1,7.7,84,6.6,2.8,19.7,2.6,3.2,7492.85,22.66,4.46,11860.62
2019,autumn,J1,1,3.5,0.854,0.015,2.5,2.1,7,76,6.9,4.7,15.4,2,3,7991.69,1.78,2.1,16246.92
2020,winter,J1,0.7,3.3,0.838,0.009,2.2,1.3,7.2,75,10.4,1.4,7.9,0.5,4,7875.33,2.2,4.22,15175.92
2020,spring,J1,0.6,3.1,0.801,0.007,2,1.1,7.6,73,9.3,1.1,13.6,1.1,5,7683.54,5.03,5.55,13498.08
2020,summer,J1,1.2,3.9,0.824,0.019,2.5,3.6,7.3,71,7.3,10.9,19.7,6.2,1.8,7654.5,12.77,19.14,13256.67
2020,autumn,J1,0.9,3.3,0.751,0.012,1.7,1.9,7,69,7.7,3.6,14.9,2.5,2.9,7440.15,0.19,2.91,11567.69
2021,winter,J1,0.7,2.6,0.653,0.007,1.9,1,7.6,71,11.5,2.4,6.6,1.2,3.9,7266.08,4.12,1.93,10251.46
2021,spring,J1,0.8,3.1,0.686,0.009,2.2,1.9,7.8,78,9.2,5,12.6,1.2,2.6,7309,1.86,2.92,10572.62
2021,summer,J1,1.3,3.4,0.684,0.018,2.4,2.5,7.5,80,5.7,2.8,19.3,3.6,2.6,7593.46,7.68,14.01,12847.69
2021,autumn,J1,1.1,3,0.574,0.011,2.2,1.9,7,79,7.2,2.6,15.5,3.7,2.5,7391.46,0.31,1.97,11207.23
2017,winter,J2,0.6,2.9,0.742,0.01,2,1.2,7,77,11.1,3,7.2,2,3.6,7081.38,0.9,3.29,8747.31
2017,spring,J2,0.9,3,0.733,0.011,2.2,1.2,7.2,80,10.3,3.3,15,2.2,3.8,6870.54,0.84,3.42,7342.15
2017,summer,J2,0.8,3.1,0.628,0.014,2.4,1.3,7.3,84,6.3,3.9,22.4,3.3,3.5,6625.46,4.51,3.42,5857.62
2017,autumn,J2,0.8,3.2,0.613,0.014,2.3,1.7,6.9,91,8.7,6.1,14.3,2.7,2.8,6470.83,0.33,1.75,5018.5
2018,winter,J2,0.7,3,0.571,0.013,2.2,1.2,7,92,11.5,5.4,6.1,2.4,2.8,6264.54,2.98,1.99,3997.92
2018,spring,J2,0.9,3.1,0.878,0.014,2.4,1.8,7.4,98,9.3,5.8,15.6,1.7,3.1,6491.46,3.55,2.61,5128.08
2018,summer,J2,1.3,3.8,0.856,0.022,3,3.7,6.8,88,6.6,2.4,22.8,11.7,2.7,6719.92,4.82,3.3,6469.23
2018,autumn,J2,0.7,3.8,0.669,0.017,3.2,1.6,6.8,78,7.4,3.3,16.1,0.9,3.6,7289.69,1.16,1.9,10257
2019,winter,J2,0.6,3.4,0.64,0.014,2.5,1,7.4,76,11.5,4,7.3,1,3.7,7171.46,0.8,1.92,9380.08
2019,spring,J2,0.9,3.4,0.595,0.022,2.2,1.2,7.7,79,9.7,3.8,13.5,1,3.5,7163.69,4.02,2.68,9323.69
2019,summer,J2,1.1,3.8,0.636,0.017,2.9,2.1,7.7,84,7,2.5,20.8,2.2,3.2,7492.85,22.66,4.46,11860.62
2019,autumn,J2,1,3.5,0.854,0.015,2.5,2.1,7.3,76,7.8,3.7,15.9,1.6,3.4,7991.69,1.78,2.1,16246.92
