p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,Rain,logTC,logFC
7.2 ,12.5 ,515 ,5.0 ,5.9 ,9.4 ,6.8 ,26.8 ,9.9 ,9.133 ,0.525 ,4.684 ,0.395 ,13.428 ,37.1 ,4.3640 ,2.9054 
7.2 ,10.2 ,454 ,7.5 ,6.3 ,10.4 ,7.2 ,15.4 ,16.7 ,8.685 ,0.468 ,4.674 ,0.350 ,14.258 ,135.8 ,4.9088 ,3.4191 
7.3 ,10.0 ,364 ,9.8 ,5.6 ,8.3 ,5.6 ,4.1 ,15.9 ,6.074 ,0.284 ,1.922 ,0.205 ,31.133 ,76.0 ,4.3463 ,2.4319 
7.3 ,9.9 ,379 ,14.4 ,6.9 ,10.3 ,6.5 ,43.6 ,25.6 ,5.468 ,0.393 ,1.524 ,0.271 ,18.226 ,133.0 ,4.8842 ,3.0718 
7.1 ,7.8 ,345 ,20.0 ,5.2 ,8.7 ,5.1 ,16.9 ,19.4 ,4.752 ,0.372 ,1.100 ,0.272 ,26.468 ,99.0 ,4.8373 ,3.3533 
7.0 ,6.6 ,369 ,25.6 ,5.1 ,8.1 ,6.6 ,20.4 ,31.5 ,4.518 ,0.263 ,0.895 ,0.108 ,26.335 ,70.6 ,4.4259 ,3.1865 
7.0 ,7.0 ,265 ,25.5 ,4.5 ,9.4 ,5.0 ,7.3 ,39.1 ,3.466 ,0.264 ,0.506 ,0.154 ,157.950 ,453.0 ,4.4170 ,3.7831 
7.2 ,6.3 ,199 ,27.3 ,3.9 ,6.9 ,4.4 ,13.7 ,43.5 ,3.225 ,0.240 ,0.732 ,0.139 ,78.358 ,337.6 ,4.3647 ,3.8462 
7.3 ,7.3 ,197 ,24.6 ,3.3 ,5.9 ,3.9 ,12.7 ,18.1 ,2.651 ,0.178 ,0.454 ,0.105 ,123.977 ,139.7 ,4.1185 ,3.6908 
7.0 ,8.5 ,338 ,18.8 ,3.0 ,6.4 ,4.7 ,13.3 ,11.6 ,4.784 ,0.229 ,0.889 ,0.163 ,19.860 ,42.0 ,4.0424 ,3.6274 
7.2 ,8.6 ,432 ,12.5 ,4.4 ,7.7 ,5.4 ,17.4 ,24.7 ,6.398 ,0.368 ,1.862 ,0.260 ,13.799 ,7.4 ,3.9420 ,3.2551 
7.2 ,11.8 ,527 ,7.8 ,5.6 ,8.9 ,6.1 ,32.9 ,35.5 ,8.161 ,0.385 ,3.617 ,0.243 ,13.810 ,41.9 ,4.2602 ,3.5031 
7.1 ,12.3 ,521 ,4.6 ,5.7 ,8.7 ,6.7 ,18.0 ,23.9 ,10.185 ,0.561 ,6.525 ,0.438 ,13.510 ,7.4 ,3.9623 ,2.9142 
7.0 ,10.3 ,499 ,7.0 ,6.5 ,9.9 ,7.3 ,31.9 ,27.3 ,9.840 ,0.488 ,6.856 ,0.289 ,13.715 ,59.8 ,4.2116 ,3.0449 
7.6 ,11.0 ,413 ,9.2 ,6.3 ,10.0 ,8.0 ,41.4 ,34.7 ,8.284 ,0.518 ,4.043 ,0.331 ,18.302 ,23.1 ,3.5873 ,2.6230 
7.7 ,10.7 ,426 ,15.5 ,10.8 ,13.4 ,9.5 ,94.5 ,39.4 ,7.168 ,0.607 ,3.708 ,0.399 ,20.821 ,103.0 ,4.0184 ,2.7790 
7.7 ,9.9 ,252 ,20.3 ,6.5 ,8.8 ,5.8 ,53.4 ,34.2 ,4.286 ,0.247 ,1.299 ,0.074 ,68.188 ,142.9 ,3.7724 ,2.9500 
7.3 ,7.5 ,287 ,23.8 ,6.8 ,9.5 ,7.4 ,45.7 ,36.4 ,4.502 ,0.276 ,1.514 ,0.135 ,32.059 ,120.0 ,3.3906 ,2.6729 
7.5 ,7.3 ,175 ,25.8 ,5.6 ,8.8 ,5.6 ,15.0 ,111.5 ,3.963 ,0.345 ,1.272 ,0.115 ,226.935 ,277.5 ,4.5800 ,4.0947 
7.1 ,8.0 ,177 ,26.4 ,2.8 ,5.5 ,3.8 ,11.2 ,16.1 ,2.940 ,0.169 ,0.504 ,0.106 ,213.875 ,382.5 ,4.4767 ,3.9522 
8.2 ,9.6 ,283 ,26.9 ,5.8 ,8.2 ,5.2 ,75.7 ,10.2 ,3.462 ,0.172 ,0.808 ,0.081 ,50.510 ,13.5 ,3.6955 ,2.4477 
7.7 ,11.5 ,389 ,18.9 ,5.4 ,8.4 ,5.8 ,56.7 ,11.0 ,6.369 ,0.572 ,1.534 ,0.471 ,19.860 ,20.5 ,3.2051 ,2.2913 
7.4 ,10.9 ,404 ,14.9 ,5.4 ,8.2 ,6.2 ,53.2 ,22.4 ,6.197 ,0.573 ,1.060 ,0.419 ,21.994 ,136.8 ,3.7349 ,3.1182 
7.0 ,13.0 ,457 ,7.8 ,2.7 ,5.9 ,4.6 ,10.5 ,5.5 ,6.326 ,0.497 ,1.191 ,0.426 ,22.868 ,13.3 ,3.7296 ,3.0250 
7.7 ,14.8 ,489 ,5.3 ,5.6 ,9.7 ,7.1 ,49.5 ,16.9 ,10.047 ,0.636 ,4.694 ,0.457 ,11.582 ,15.2 ,3.6855 ,2.8010 
7.5 ,12.2 ,517 ,5.9 ,6.3 ,11.1 ,8.1 ,55.7 ,13.8 ,10.854 ,0.574 ,6.474 ,0.407 ,12.646 ,18.6 ,4.2004 ,3.2780 
