BOD,COD,SS,T-N,T-P,TOC,NH3-N,PO4-P,Chl-a,Rain
3.5,4.9,9.5,2.767,0.095,3.1,0.312,0.026,26.8,44.9
2.8,4.9,7.8,2.876,0.078,2.8,0.255,0.039,9.2,11.7
3.6,5.9,13.3,2.727,0.077,3.7,0.168,0.018,22.8,41.9
5.7,9.4,20.9,1.926,0.106,5.5,0.087,0.036,120.6,7.8
8.1,12.4,28.3,1.799,0.152,6.7,0.172,0.046,117.7,8.9
4.8,11.3,20.1,1.591,0.123,6.9,0.283,0.038,32.8,28.1
5,12.3,19.1,2.192,0.102,6.9,0.266,0.029,53.7,42.1
3.1,9.1,13.7,2.301,0.156,5.1,0.378,0.095,14.2,211.7
2.9,8.4,30.7,1.697,0.138,4.4,0.237,0.081,24.1,273.8
1.9,6.7,15.3,1.082,0.079,3.8,0.043,0.04,37.4,108.8
3,6.2,7.8,1.412,0.067,3.3,0.049,0.022,46.3,85.4
4.6,7.5,9.3,2.115,0.103,4.1,0.402,0.018,58.2,2.1
4.1,7.4,8.4,2.832,0.11,4.4,0.227,0.018,43.1,28.5
4.6,7.3,10.7,2.902,0.092,3.8,0.174,0.012,53.8,38.8
3.6,7.4,9.3,2.453,0.073,3.6,0.129,0.013,40.2,22
3.6,8.5,19.8,2.838,0.122,4.8,0.329,0.03,49.9,115.8
3.5,8.1,21.7,2.285,0.115,4.2,0.126,0.032,55.6,127.4
3.5,8.8,31.6,2.297,0.124,5.1,0.191,0.059,51,85.4
3.2,10.2,22.2,1.731,0.105,5.8,0.118,0.027,66,222.4
2.7,9.1,31,1.676,0.139,4.5,0.067,0.073,55.9,84.5
2.6,7.9,17,1.054,0.14,4.4,0.047,0.078,47.4,397.1
0.8,4.8,7.3,1.855,0.101,2.9,0.061,0.05,35.9,129.7
2.8,6,9.6,1.893,0.1,3.6,0.082,0.032,42.7,125.2
3.3,6.1,9.4,1.993,0.104,3.8,0.078,0.02,47.5,47.2
2.9,5.3,6.8,2.922,0.102,3,0.191,0.038,29.1,32.4
3,5.6,5.5,2.539,0.086,3.2,0.1,0.021,28,16.4
4.1,8.8,12.3,2.396,0.116,3.6,0.087,0.012,57.7,37
6.1,10,20.7,2.158,0.145,5.4,0.247,0.024,95.3,33.9
6.1,10.6,17,2.63,0.153,5.5,0.606,0.022,52.9,84.7
4.7,10.5,23.7,1.827,0.144,5.5,0.285,0.031,32,78.8
3.3,10.3,13.3,2.04,0.095,6,0.169,0.04,31.3,158
2.6,9.2,16.5,2.075,0.12,5.2,0.187,0.062,23.7,242.2
2.9,8.8,31.2,1.685,0.144,5.5,0.115,0.082,26.3,64.8
1.2,6.7,5.9,1.805,0.117,3.6,0.077,0.071,12,165.8
1.6,5.6,7.2,2.095,0.078,3.3,0.065,0.037,18.9,149.9
2.9,8.5,18.3,2.508,0.118,4.3,0.414,0.046,17.3,22.8
5.9,9.5,22.5,2.439,0.133,4.3,0.113,0.022,100.1,31.6
2.9,6.7,4.9,8.417,0.088,3.4,4.182,0.048,4.3,47.2
5.3,8.4,9.7,9.795,0.116,4.1,5.869,0.065,12.3,23.9
5.2,9.4,10,10.757,0.103,4.9,6.915,0.012,46.4,36.5
6.9,11.1,16.5,8.068,0.164,5.1,4.006,0.053,43.6,145.5
5.6,10.5,14.5,6.933,0.081,4.7,3.373,0.015,32.9,48.6
6,10.1,18.4,5.847,0.085,5.6,2.969,0.02,26.1,96.1
6.1,9,13.3,3.482,0.142,4.8,1.219,0.079,16.4,164.3
5.6,9.5,9.6,4.637,0.162,4.2,2.118,0.096,27,148.9
2.5,7,4.7,4.47,0.081,3.8,1.372,0.048,15.4,66.6
4.9,8.6,13.5,6.371,0.119,5.1,1.86,0.071,15.3,90.9
3.7,8,6.8,5.647,0.1,4,1.743,0.057,15.6,121.9
1.7,5.6,4.4,6.283,0.071,3.1,1.505,0.044,3.1,59.2
2.9,6.2,4.2,7.986,0.078,3.3,2.403,0.042,8.3,49.9
2.7,7.1,6.2,7.365,0.114,3.5,3.088,0.064,7.8,45.2
4.5,8.7,17.4,8.296,0.197,4.6,3.339,0.096,19.9,55.2
6.8,10.1,17.1,6.496,0.195,4.5,2.19,0.09,35.3,185
4.2,8,7.9,4.834,0.147,4,1.77,0.07,22.3,104.5
5.9,8.8,8.2,6.267,0.156,5,2.91,0.088,14.3,116.1
4.2,7.2,10.6,4.403,0.153,3.8,1.588,0.106,20.2,301.4
5.3,9.1,11.4,5.729,0.137,4.7,2.185,0.072,60.7,81
3,7.2,7.3,4.198,0.121,3.9,1.672,0.078,10.9,251.3
2.7,5.4,5.5,4.29,0.198,3.6,1.158,0.139,2.1,216.7
4,6.1,5.4,7.694,0.082,4.1,2.517,0.028,20.8,31.5
4.5,6.9,7.6,8.209,0.132,4.3,2.823,0.029,29.5,44.9
4,7.1,5.1,9.673,0.14,4,4.036,0.068,10.8,11.7
4.5,7.8,7.9,11.091,0.164,5.2,6.001,0.06,18,41.9
6.9,10.9,14.4,9.863,0.197,6.3,6.093,0.032,71.4,7.8
7.1,11.6,17.2,7.39,0.115,6.4,3.024,0.027,71.2,8.9
4.9,11.1,11.7,10.628,0.153,6.9,5.755,0.047,22.3,28.1
7.6,13.6,17.7,7.221,0.113,7.4,3.318,0.022,67.4,42.1
5.3,9.6,14.1,4.371,0.175,5.2,1.908,0.099,15.1,211.7
4.5,9.6,30.3,5.23,0.223,4.9,2.715,0.149,21.8,273.8
3.7,7.5,13.6,5.886,0.128,4.1,2.389,0.067,23.4,108.8
4.7,7.5,7.2,6.957,0.094,3.8,3.205,0.034,33.9,85.4
5.4,8.7,8.3,8.074,0.089,5.3,3.185,0.006,53.9,2.1
8,10.2,16.9,7.947,0.119,5.7,4.105,0.007,68.1,28.5
7.3,10.5,18.3,10.486,0.136,5.5,5.766,0.034,64,38.8
5.9,10,11.2,11.501,0.106,5.6,8.594,0.021,50.6,22
8,12,25.7,8.14,0.191,6.1,5.037,0.079,50.3,115.8
7.4,9.9,22.1,7.026,0.166,4.8,3.789,0.09,45.3,127.4
9.1,9.8,22.7,5.548,0.236,5.4,3.31,0.136,66.6,85.4
5,9.7,14.7,5.33,0.114,5.6,3.187,0.038,47.1,222.4
8,10.2,21,6.915,0.208,4.8,4.75,0.133,31.3,84.5
6.6,10.2,18.3,7.542,0.187,5.3,5.504,0.11,38.7,397.1
4.1,6.2,10.4,5.072,0.166,3.6,2.862,0.095,28.1,129.7
5.1,7.1,9.8,7.143,0.192,4.2,3.638,0.11,35.2,125.2
7.9,8.4,10.3,9.608,0.255,5.1,6.539,0.138,33.4,47.2
7.2,9.1,12.9,11.538,0.344,5,5.954,0.229,37.7,32.4
6,8.1,9.7,9.384,0.122,5,6.281,0.026,40.5,16.4
7.7,11.3,19.2,11.656,0.142,5.6,8.402,0.01,60.3,37
10,12.7,19.7,10.815,0.164,6.2,7.551,0.031,60.5,33.9
8.8,11.7,17.1,9.274,0.172,5.8,6.071,0.04,26.5,84.7
8.2,10.4,15,7.874,0.114,5.5,5.367,0.04,12.6,78.8
8.9,11.4,13.1,6.385,0.112,6.1,3.942,0.046,17.8,158
7.8,10.6,15.4,5.356,0.194,6.1,2.642,0.128,19.4,242.2
7.6,9.6,22.7,6.017,0.194,6.6,3.341,0.111,26.4,64.8
5.7,7.4,10.1,5.499,0.13,4.1,2.948,0.073,11.2,165.8
5,6.8,12.1,5.346,0.071,3.5,2.249,0.03,19.3,149.9
9.8,12,19.6,9.085,0.266,5.3,5.656,0.167,30.2,22.8
8.6,11.5,23.3,7.204,0.148,5.3,3.474,0.005,112.1,31.6
2.2,6.4,3.2,8.761,0.067,3.4,4.415,0.034,4.7,47.2
3.7,8.4,5.6,10.932,0.147,4.4,6.85,0.081,7.3,23.9
5.5,10.1,12.2,10.242,0.114,5.2,6.249,0.014,63.3,36.5
6.7,11.6,13.9,8.951,0.182,5.4,5.049,0.082,46.2,145.5
8.1,12.7,12.5,7.332,0.084,5.7,3.186,0.012,59.5,48.6
7.6,13,15.7,6.937,0.151,6.5,3.493,0.057,50.2,96.1
6.6,9.6,11.2,5.811,0.238,5.5,2.853,0.154,26.9,164.3
5.8,10.1,11.6,4.643,0.152,4.5,1.874,0.055,66.7,148.9
5.4,9.9,10.3,4.66,0.116,4.5,1.573,0.053,98,66.6
5.3,9.8,9.5,6.932,0.077,4.7,1.882,0.03,59.8,90.9
3.9,8.6,7.6,5.911,0.176,4.1,2.275,0.118,25,121.9
2,6.3,4.7,6.597,0.146,3.4,1.961,0.102,2.9,59.2
2.3,6.3,3.9,9.137,0.098,3.5,3.414,0.056,6.7,49.9
3.1,7.4,6.7,6.839,0.132,3.6,2.485,0.07,8.2,45.2
4.7,9.2,16.9,7.869,0.196,4.5,3.352,0.097,33.1,55.2
7.4,11.3,17,6.931,0.175,5,1.887,0.051,80,185
5.3,8.1,8.9,5.656,0.149,4.5,2.084,0.074,41.8,104.5
9.5,11.3,14.9,6.225,0.201,5.6,2.346,0.048,120.1,116.1
4.8,8.4,11.1,5.307,0.143,4.2,1.774,0.085,35.5,301.4
8.6,11.8,15.5,4.636,0.15,5.4,1.473,0.071,88.6,81
4.5,8,9.6,4.028,0.196,4.3,1.563,0.127,16.4,251.3
4,7.1,8.5,5.482,0.357,4,2.383,0.249,3,216.7
4.6,6.9,8.6,8.822,0.204,4.5,3.849,0.106,35.5,31.5
4.5,7.4,8.2,9.259,0.217,4.6,3.439,0.091,25.5,44.9
3.2,7.2,5.7,9.09,0.146,4,3.477,0.07,13.4,11.7
4.6,7.9,10.3,11.508,0.247,5.5,6.22,0.122,30.5,41.9
6.8,12,18.9,11.999,0.269,7.3,7.117,0.125,70.6,7.8
7.8,12.2,18.2,9.085,0.207,6.8,4.256,0.092,117.1,8.9
7.6,14.3,18.8,10.442,0.203,8.3,4.971,0.062,116.5,28.1
8.2,15.1,21,8.115,0.184,7.2,3.81,0.066,105.3,42.1
6.4,11,13.5,5.742,0.516,6.1,2.923,0.364,19,211.7
5.3,8,25.8,4.591,0.216,4.8,2.064,0.134,45.9,273.8
3.6,8.4,19.8,5.081,0.101,4.6,1.734,0.038,70.3,108.8
4.7,8.1,10.1,7.089,0.113,4.7,2.235,0.021,70.4,85.4
5.3,9.2,10.9,9.258,0.1,5.4,3.908,0.01,68.4,2.1
8.4,10.7,19.2,10.065,0.196,6.1,5.974,0.032,57.5,28.5
4.5,10.5,14.7,10.623,0.113,5.7,5.629,0.016,66.1,38.8
4.1,11.2,11.3,13.092,0.161,6,9.924,0.057,41,22
7,11.5,26.9,8.196,0.257,6.1,5.222,0.107,41.1,115.8
7.1,10.7,41.7,7.347,0.162,4.8,4.216,0.051,47.5,127.4
6.2,9.2,33.8,5.893,0.132,4.8,3.525,0.043,61.8,85.4
4.5,10,26.2,7.381,0.153,5.7,4.754,0.053,52.7,222.4
5.6,9.3,24.9,7.084,0.172,5.2,4.855,0.091,41.7,84.5
5.6,10.2,23.1,7.556,0.181,5.2,5.148,0.094,59.4,397.1
2.1,5.9,13.1,3.956,0.148,3.4,1.887,0.08,41.4,129.7
4.7,7.3,10.3,7.284,0.176,4.3,3.738,0.097,36.2,125.2
7.1,8,11.4,8.897,0.233,5.6,5.302,0.093,59.2,47.2
5.5,7.5,9.9,10.973,0.122,4.8,5.465,0.03,45,32.4
5.5,7.2,9,9.617,0.102,5.3,5.488,0.016,59.1,16.4
6.3,10.1,15.1,11.121,0.127,5.2,7.307,0.009,81.4,37
7.6,12,16.6,12.329,0.345,6.6,7.752,0.164,60,33.9
7,11.5,15.1,11.365,0.301,6.1,7.563,0.132,16.7,84.7
6.3,10.3,11.9,8.55,0.208,5.8,5.852,0.115,12.6,78.8
7,11.7,11.7,9.042,0.243,6.4,5.68,0.112,22.6,158
5.8,9.7,16.6,6.302,0.175,5.1,3.53,0.111,17.6,242.2
5.3,8.7,13.7,6.871,0.137,5.5,3.824,0.066,32.6,64.8
4.3,7.6,8.4,6.367,0.179,4.3,3.518,0.106,14,165.8
2.8,6.7,7.2,6.96,0.072,3.9,2.819,0.027,20.4,149.9
6.4,10.2,16.3,9.148,0.146,5,4.589,0.083,31,22.8
7.6,11,18.6,9.071,0.321,5,4.343,0.197,86.5,31.6
2.5,5,6.4,6.382,0.115,4.5,3.178,0.055,7.1,47.2
4.3,6.5,6.7,7.327,0.11,5.3,4.068,0.029,27.9,23.9
6.9,10,13.4,7.658,0.147,7,4.521,0.017,99.8,36.5
5.6,8.9,12.5,5.658,0.162,6.5,2.966,0.049,56,145.5
6.3,8.4,11.5,5.195,0.14,6.2,2.582,0.027,56.3,48.6
5.3,8.3,13.2,4.456,0.126,6.3,1.874,0.025,44.6,96.1
4.2,8.3,9.6,3.352,0.137,5.9,0.953,0.041,57,164.3
4.3,7.6,10.6,4.168,0.19,5.8,1.283,0.063,60,148.9
4.4,7.1,8.7,4.487,0.153,5.2,1.428,0.049,38.1,66.6
4.3,7.1,9.4,4.514,0.118,5.9,1.064,0.039,38.8,90.9
4.2,6.6,5.9,5.011,0.202,5.3,1.801,0.093,23,121.9
2.3,5.2,3.3,4.916,0.169,2.6,1.234,0.089,7.5,59.2
2.6,5.4,5.1,6.783,0.124,5.3,1.672,0.036,28.5,49.9
3.5,5.8,8.6,5.428,0.154,5.5,1.762,0.072,20.3,45.2
4.8,7.4,19.5,4.855,0.176,6.1,1.311,0.046,46.4,55.2
5.4,7.9,12.8,3.833,0.137,5.9,0.889,0.025,64.3,185
4.5,7.6,10.1,4.087,0.14,6,1.309,0.045,65.8,104.5
4,7.8,7,4.023,0.146,7,1.365,0.068,42.4,116.1
3.9,6.9,10.7,3.277,0.166,6.2,1.072,0.085,36.7,301.4
4.5,8.6,9.7,3.845,0.204,7.3,1.669,0.117,61,81
4.1,7,9.1,3.613,0.152,5.7,1.076,0.077,49.5,251.3
3,5.9,11.8,3.153,0.192,4.6,0.807,0.126,8.4,216.7
3.8,6.6,8.7,5.604,0.163,5.4,1.577,0.061,48.2,31.5
4.1,7.3,10,6.097,0.122,6.1,1.738,0.023,46.5,44.9
4,7.2,9,6.447,0.114,5.7,1.892,0.019,42.9,11.7
5.5,9.1,14.7,7.673,0.154,7.8,3.512,0.02,69.3,41.9
6.8,12.4,16,8.267,0.121,8.8,4.164,0.018,101.4,7.8
7.3,11.7,9.9,6.152,0.159,8.7,3.048,0.044,34.2,8.9
5.9,12.6,11,7.44,0.133,9,3.606,0.038,35.2,28.1
6.9,14.1,13.7,4.55,0.106,10.3,1.528,0.006,55.3,42.1
3.9,9.1,10.3,3.847,0.176,7.4,1.711,0.101,20.5,211.7
3.8,8.8,13.7,4.244,0.181,6.8,2.362,0.104,13.9,273.8
3.7,7.9,10.5,3.163,0.105,5.9,0.858,0.039,38.9,108.8
4.9,8.3,10.1,5.166,0.091,6.6,1.926,0.031,48.9,85.4
5.3,9.8,13.7,6.34,0.087,7.4,2.229,0.008,48.1,2.1
5.4,9.2,17.3,7.16,0.117,7.6,3.507,0.007,40.7,28.5
6.4,11.6,13,8.883,0.125,8.6,5.352,0.013,56.5,38.8
6.1,11.8,14.1,11.563,0.177,8.9,8.907,0.023,70,22
6,11.1,25.3,7.031,0.199,8.7,4.46,0.034,41.9,115.8
5.7,10.9,47.7,6.849,0.203,8.2,3.832,0.043,41.4,127.4
6.2,10.7,36.6,4.675,0.183,8.1,2.27,0.048,47.7,85.4
6.6,11.6,24.4,5.959,0.128,8.9,3.329,0.026,50,222.4
7,12.5,43.6,5.545,0.214,9,2.853,0.096,70.5,84.5
6.7,12.9,23.2,5.043,0.227,8.9,2.788,0.09,80.1,397.1
4.8,8.7,10.3,4.876,0.19,6.7,2.516,0.108,28.5,129.7
4.9,7.9,9.5,4.942,0.158,7.4,2.397,0.07,33.8,125.2
5.1,9.7,10.6,5.688,0.209,8.6,2.488,0.066,56.9,47.2
4,8.4,9.5,6.668,0.14,8.1,2.556,0.038,62.2,32.4
4.7,9,10.1,9.198,0.154,8,3.972,0.024,42,16.4
6.6,14.1,19.1,7.597,0.195,10.5,3.777,0.018,115.2,37
6,12.5,12.2,8.271,0.194,9,5.145,0.027,66.7,33.9
6,12.9,29.8,6.569,0.358,9.1,3.919,0.098,44.2,84.7
4.8,10.3,13.3,5.09,0.197,7.7,2.642,0.045,49.6,78.8
6.4,13.5,14.3,4.433,0.2,9.2,2.53,0.037,63.8,158
4.1,10.2,14.9,4.12,0.163,9.3,1.928,0.079,29.9,242.2
4,10,19.7,3.918,0.181,8.6,1.575,0.063,52.4,64.8
3.8,7.1,8.8,3.411,0.129,4.9,1.138,0.073,28.4,165.8
3.9,6.5,10.3,4.156,0.063,5.2,1.075,0.016,46.8,149.9
5,8.5,8.7,6.361,0.086,7.7,2.714,0.053,52,22.8
6.1,10.5,14,7.155,0.116,8.5,2.998,0.032,70.3,31.6
1.7,5.7,3.8,5.856,0.068,2.7,2.11,0.043,11.6,41.9
3.9,6.8,8.4,6.947,0.098,3.8,2.936,0.044,39,25.3
6.2,9.8,13.6,6.171,0.119,4.5,2.744,0.039,96.9,37
5.1,8.8,8.5,5.165,0.102,4.7,2.464,0.041,38.5,153.8
6.4,10.9,11.6,3.813,0.082,4.6,1.226,0.017,66.7,67.5
5.9,10.8,13.6,4.153,0.073,6,1.602,0.011,45.1,98.9
3.8,8.9,9.2,3.044,0.114,4.9,0.712,0.067,24.4,179.5
6,10.6,12.4,2.783,0.117,4.2,0.842,0.069,79.4,145.9
4.7,8.3,9.9,2.826,0.086,4.2,0.54,0.038,67.6,66.7
4.4,9,9.8,3.388,0.064,4.1,0.561,0.024,59.9,87.6
3.4,8.5,7.9,4.555,0.123,3.8,1.242,0.092,27.5,112.5
2.5,5.8,5,4.416,0.139,3.1,1.055,0.109,11.1,58
3.6,5.8,7.1,5.413,0.064,3,0.824,0.029,44.9,52.3
3.3,6.8,7.1,4.67,0.124,3.3,1.267,0.082,18.6,46.2
4.1,7.7,15.8,4.157,0.109,3.9,0.852,0.049,45.3,63.3
4.5,7.2,13.3,3.177,0.127,5.2,0.594,0.026,41.5,194.1
5.6,8,13.4,2.951,0.139,5.2,0.414,0.048,88.7,111.9
4.3,8.7,9.7,3.651,0.125,6.4,1.05,0.053,42.9,122.8
4.7,7.5,15.9,2.869,0.156,5.3,0.501,0.065,55.2,277.4
5.7,11.9,15.8,2.829,0.185,7.6,0.63,0.07,84.2,71
4,7.6,9.1,3.005,0.133,5.7,0.586,0.065,62,244.7
2.5,5.8,10.6,2.63,0.165,4,0.525,0.096,7,211.6
4,6.5,7.5,4.601,0.136,4.4,1.033,0.05,57.7,43.6
4.6,7.1,8.2,5.861,0.108,5.5,1.319,0.025,57.1,47
4.1,6.9,8.5,5.527,0.115,5.3,1.166,0.021,68.6,11.8
5.8,8.8,13.9,6.399,0.142,6.9,2.049,0.015,97,39.5
7.1,10,12.7,6.833,0.122,7.4,2.948,0.01,99.1,10.1
7.1,10.2,9.4,5.17,0.149,7.5,1.971,0.034,92.7,22.8
7.1,13.5,11.9,6.118,0.137,8.6,2.333,0.053,57.5,80.3
7.6,15.1,14.1,4.408,0.105,10.9,1.263,0.018,67.3,48.2
3.9,9.1,12.2,2.964,0.165,6.7,0.959,0.098,21.8,229.7
3.3,8.4,12.7,3.362,0.147,6.2,1.427,0.084,40.5,231.1
4.7,7.9,10.6,2.674,0.089,6.1,0.46,0.037,65.3,83.8
4.2,7.2,7.5,4.097,0.078,5.1,1.08,0.025,49.6,66
5,8.7,13.2,5.516,0.086,6.7,1.439,0.016,84.2,7.7
5.9,10.2,17.3,7.135,0.147,7.9,3.026,0.019,71.8,29.9
6.9,11.5,15,7.06,0.134,8.4,3.091,0.018,115.6,49
6.9,12.5,16.9,9.613,0.169,9.4,6.366,0.019,132.4,44.5
5.9,10.7,25.5,5.919,0.193,7.7,2.933,0.05,59.4,120.4
4.8,8.3,19,5.105,0.128,6.3,2.179,0.03,71.6,108.2
4.8,9.9,19.6,3.761,0.147,6.6,1.383,0.037,78.2,135.8
8.1,15.3,16.8,4.245,0.125,10,1.3,0.024,124.8,168.6
7.3,12.4,16,4.454,0.156,8.2,1.672,0.056,94.2,150.2
6.4,13.2,33.8,3.563,0.181,8.9,1.264,0.063,61.4,358.6
4.2,8,10.8,3.203,0.106,5.5,0.576,0.052,56.1,106.4
4,7.4,9.9,3.558,0.145,6.3,0.755,0.056,50.9,107.4
5.6,8.3,14.6,4.909,0.166,7.2,1.756,0.04,56.3,37.8
4.4,8.7,21.3,5.626,0.135,7.2,1.513,0.04,65.6,25.2
4.2,9.2,14.2,7.469,0.126,7.4,2.345,0.021,61.7,12.5
6.4,13.6,21.8,6.43,0.174,10.1,2.569,0.033,106.7,28.1
5.6,12.3,25.8,5.814,0.183,8.7,2.738,0.029,76.2,26.3
4.4,9.4,14.1,5.298,0.194,7.1,2.896,0.03,46.9,65.2
5.8,13.2,12.9,3.962,0.184,8.9,1.938,0.041,56.3,62.7
5.9,12.5,14.6,3.317,0.15,8.1,1.516,0.025,70.8,122.2
3.5,8.3,12.8,2.78,0.124,6.4,0.751,0.067,24.7,182.7
3.8,13.1,31,3.215,0.16,9.5,1.074,0.056,63.6,53.7
4.2,6.9,9.2,3.222,0.128,5.3,0.811,0.053,42.4,132
4,6.9,10.6,3.441,0.075,4.9,0.551,0.03,49.4,115.7
