pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain,log TC,log FC,log Flow,log Rain
7.8,12.3,6.1,356,1.3,3.9,3.3,2.573,0.056,3.5,15875,0.077,0.02,8.6,210,3.439,44.9,4.2007,2.3222,0.5364,1.6522
7.4,11.6,3.8,327,1.5,4.3,4.2,2.898,0.079,3.3,2800,0.224,0.029,7.3,180,3.23,11.7,3.4472,2.2553,0.5092,1.0682
7.8,12.5,4.8,307,1.8,4.5,5.6,2.929,0.086,3.5,1240,0.222,0.041,8.5,200,3.538,41.9,3.0934,2.301,0.5488,1.6222
7.7,13.6,10.1,366,4,6.6,13.4,2.255,0.091,5.8,1150,0.062,0.014,42.5,173,2.81,7.8,3.0607,2.238,0.4487,0.8921
8.5,11.4,15.9,329,5.9,11,18.1,1.422,0.109,7.8,8188,0.024,0.006,110.6,150,2.707,8.9,3.9132,2.1761,0.4325,0.9494
7.8,10.9,20.6,364,5.8,13.4,21.2,1.626,0.138,9.1,610,0.124,0.01,71.4,56,2.093,28.1,2.7853,1.7482,0.3208,1.4487
6.9,7.3,23.7,332,3.9,12.7,12.9,2.142,0.121,9.5,1158,0.286,0.026,32,285,3.473,42.1,3.0637,2.4548,0.5407,1.6243
7.3,6.6,26.9,225,2.3,8.4,10.3,1.971,0.118,6.2,7050,0.162,0.047,14.1,1378,10.418,211.7,3.8482,3.1392,1.0178,2.3257
7.3,7.5,26.5,183,2.5,7.1,21.5,1.404,0.112,5.3,15600,0.091,0.064,20.4,2218,31.665,273.8,4.1931,3.346,1.5006,2.4374
7.2,8.4,22.4,221,1.7,5.8,6.7,1.412,0.08,4.5,5300,0.038,0.041,10.7,1438,12.089,108.8,3.7243,3.1578,1.0824,2.0366
7.8,11.6,17.2,346,1.6,5.5,3.7,1.813,0.071,4.2,2500,0.092,0.03,17.9,275,3.39,85.4,3.3979,2.4393,0.5302,1.9315
7.9,11.9,8.8,493,4.1,7.3,9.9,1.917,0.07,6,895,0.192,0.006,77.5,73,2.222,2.1,2.9518,1.8633,0.3467,0.3222
7.4,12.7,4.2,363,3.3,5.9,7.5,2.72,0.067,5,2075,0.269,0.005,49.1,558,2.623,28.5,3.317,2.7466,0.4188,1.4548
8,12.1,3.3,328,2.9,5.6,6.7,2.627,0.072,4.5,7000,0.246,0.012,34.1,574,2.826,38.8,3.8451,2.7589,0.4512,1.5888
8.2,9.5,4,440,3.2,5.8,7.7,2.659,0.095,4.5,1068,0.075,0.012,46.8,361,2.31,22,3.0286,2.5575,0.3636,1.3424
7.2,10.7,11,261,3.5,7.4,15.6,2.59,0.108,5.5,11450,0.202,0.028,34.2,1195,11.389,115.8,4.0588,3.0774,1.0565,2.0637
7.6,9.8,15.6,272,2.5,6.6,9.2,2.231,0.094,5,4640,0.064,0.023,35.7,380,6.176,127.4,3.6665,2.5798,0.7907,2.1052
7.4,9.2,20.2,253,2.7,7.2,11.6,2.233,0.131,5.9,6525,0.252,0.058,15.9,433,7.879,85.4,3.8146,2.6365,0.8965,1.9315
7.1,6.9,24.7,255,2.9,10.8,8.7,1.858,0.115,8.5,2650,0.12,0.05,13.9,278,5.507,222.4,3.4232,2.444,0.7409,2.3471
7.5,8,27.3,276,3.6,9.6,13.8,1.626,0.125,6.8,5040,0.039,0.074,29.7,1000,26.962,84.5,3.7024,3,1.4308,1.9269
7.2,7.4,26.9,305,2.5,8.4,9.4,1.399,0.112,6.4,7125,0.028,0.05,17.8,1138,32.126,397.1,3.8528,3.0561,1.5069,2.5989
7.5,9.7,23.1,182,2.1,5.3,7.4,1.922,0.082,4.5,8875,0.031,0.036,18.5,1570,11.455,129.7,3.9482,3.1959,1.059,2.1129
8,11.3,16.2,272,2,5.8,5.6,1.969,0.078,5.3,8820,0.032,0.03,13.8,1136,6.158,125.2,3.9455,3.0554,0.7894,2.0976
7.5,10.4,11.2,305,1.8,5.8,5.5,2.035,0.088,5.8,5075,0.013,0.038,18.1,310,2.32,47.2,3.7054,2.4914,0.3655,1.6739
7.7,13,5.9,319,1.8,4.3,4.5,2.509,0.071,4.9,4400,0.078,0.034,18.5,1098,3.693,32.4,3.6435,3.0406,0.5674,1.5105
7.9,12.5,3.4,383,1.7,4.3,4.6,2.71,0.073,4.3,523,0.092,0.014,16.6,178,2.649,16.4,2.7185,2.2504,0.4231,1.2148
7.9,13.1,4.7,333,2.8,6.6,8.5,2.502,0.1,5.6,1225,0.13,0.028,41.1,190,2.677,37,3.0881,2.2788,0.4276,1.5682
8.4,12.5,9.5,337,4.4,9,17,1.753,0.17,7.3,2550,0.036,0.014,77,346,2.001,33.9,3.4065,2.5391,0.3012,1.5302
8.2,10.6,15.1,315,4.3,9.5,13.5,1.404,0.161,7,2908,0.165,0.02,52.8,743,2.843,84.7,3.4636,2.871,0.4538,1.9279
8,8.2,19.7,278,3.7,8.9,16.3,1.501,0.156,6.9,7875,0.272,0.041,40.6,722,5.198,78.8,3.8963,2.8585,0.7158,1.8965
6.9,8.6,23.2,252,3.5,9.8,10.5,1.82,0.144,7.9,2900,0.177,0.053,17,941,5.329,158,3.4624,2.9736,0.7266,2.1987
7.2,7.7,25.5,216,2.6,7.5,10.5,1.856,0.102,6.5,17900,0.103,0.064,9.2,3196,13.018,242.2,4.2529,3.5046,1.1145,2.3842
7,7.8,27.1,219,2.6,7.9,6.7,1.13,0.089,7,11975,0.039,0.04,20.6,1813,6.699,64.8,4.0783,3.2584,0.826,1.8116
7.2,8.2,23.2,236,1.6,5.7,4.2,1.729,0.077,4.4,9880,0.037,0.057,6.5,3226,10.641,165.8,3.9948,3.5087,1.027,2.2196
7.6,10.3,16.8,252,1.3,4.6,4.1,1.968,0.048,3.3,8325,0.031,0.024,10.1,2930,6.811,149.9,3.9204,3.4669,0.8332,2.1758
7.8,9.6,12.6,318,3.4,7,11.4,1.974,0.077,6.5,6865,0.05,0.026,50.2,2230,3.572,22.8,3.8366,3.3483,0.5529,1.3579
7.9,11.9,5.9,344,2.9,5.1,6,2.557,0.055,4.9,4600,0.077,0.025,28,1008,3.814,31.6,3.6628,3.0035,0.5814,1.4997
7.8,16.9,4.9,311,1.9,4.5,4.5,2.814,0.052,2.4,39700,0.275,0.023,7.3,3300,4.897,47.2,4.5988,3.5185,0.6899,1.6739
8,12.2,5.7,312,3.1,5.6,5.7,2.557,0.081,2.7,11400,0.299,0.047,13.2,675,4.571,23.9,4.0569,2.8293,0.66,1.3784
8.3,11.2,9.8,329,5.1,8.8,14.3,2.151,0.122,3.8,10800,0.296,0.019,62.1,840,2.509,36.5,4.0334,2.9243,0.3995,1.5623
8.1,9.2,15.8,264,5.1,10.2,15.6,2.059,0.162,4.6,64500,0.392,0.073,51.9,2725,5.934,145.5,4.8096,3.4354,0.7733,2.1629
8.3,9.7,21.2,187,4.8,10.1,26.4,1.753,0.105,4.5,18000,0.198,0.039,38.8,1700,5.461,48.6,4.2553,3.2304,0.7373,1.6866
8,8.7,24.7,239,3.5,9.8,14.7,2.493,0.09,5.6,12250,0.427,0.033,25.7,1025,4.959,96.1,4.0881,3.0107,0.6954,1.9827
7.6,7.8,25.4,178,3.3,8.1,18.6,2.106,0.114,5,141000,0.191,0.063,17.2,8000,9.366,164.3,5.1492,3.9031,0.9716,2.2156
7.8,6.9,27.2,171,3.2,7.6,15.8,1.428,0.107,3.8,82000,0.269,0.064,24.6,11700,6.264,148.9,4.9138,4.0682,0.7969,2.1729
7.9,8.8,24.4,223,1.7,6,7.5,0.879,0.056,3.4,17500,0.045,0.033,16.7,1300,4.607,66.6,4.243,3.1139,0.6634,1.8235
8,11.8,19.8,248,3.6,7.5,9.7,1.069,0.051,3.6,14500,0.047,0.012,34.4,2550,4.505,90.9,4.1614,3.4065,0.6537,1.9586
7.7,10.4,14.5,292,2.6,7.8,8.3,1.864,0.093,3.7,28900,0.17,0.048,19.8,4750,5.923,121.9,4.4609,3.6767,0.7725,2.086
7.6,12.2,9.2,303,1.8,5.3,6.7,2.634,0.071,2.9,54000,0.185,0.038,4.8,1075,6.722,59.2,4.7324,3.0314,0.8275,1.7723
7.7,14.7,4.2,328,1.9,4.5,4.4,2.642,0.056,2.3,14750,0.198,0.026,7.5,500,3.479,49.9,4.1688,2.699,0.5415,1.6981
7.7,13.6,5.2,319,2.6,6.1,7.8,2.932,0.073,2.8,18750,0.246,0.032,10.5,1100,7.489,45.2,4.273,3.0414,0.8744,1.6551
8,12.4,10.7,257,3.6,7.6,21.2,2.471,0.098,3.5,11136,0.223,0.029,27.6,2780,6.155,55.2,4.0467,3.444,0.7892,1.7419
8.4,11,17.8,205,4.6,10.2,16.5,2.104,0.106,4.2,3300,0.102,0.02,54.7,875,9.168,185,3.5185,2.942,0.9623,2.2672
8,9.1,21.5,212,3,7.5,10.7,1.65,0.068,4.1,4800,0.061,0.02,25.7,390,7.687,104.5,3.6812,2.5911,0.8858,2.0191
7.8,8,24,222,2.8,9.2,11.8,2.234,0.077,5.2,1900,0.188,0.032,25.1,504,7.129,116.1,3.2788,2.7024,0.853,2.0648
7.7,8.6,27.1,204,2.2,7.3,9.3,2.145,0.09,3.6,4825,0.127,0.056,17.5,2940,8.753,301.4,3.6835,3.4683,0.9422,2.4791
8,8,28.7,244,2.9,7.6,9.4,1.111,0.098,4.1,9280,0.074,0.049,35.1,3960,6.257,81,3.9675,3.5977,0.7964,1.9085
7.9,10.5,24.6,212,2.1,7.1,6.9,1.548,0.082,3.8,14325,0.078,0.045,14.6,4850,16.274,251.3,4.1561,3.6857,1.2115,2.4002
7.7,10.3,18.4,197,2.4,6.3,9.4,2.05,0.123,3.7,13650,0.128,0.084,5.7,4750,14.034,216.7,4.1351,3.6767,1.1472,2.3359
8.4,12.2,11.7,230,3.6,5.1,7,2.234,0.074,4,13640,0.057,0.02,45.3,2960,3.671,31.5,4.1348,3.4713,0.5648,1.4983
8,13.4,6.3,290,3.5,4.9,9.5,2.767,0.095,3.1,41000,0.312,0.026,26.8,11000,3.439,44.9,4.6128,4.0414,0.5364,1.6522
8,14.2,4.7,336,2.8,4.9,7.8,2.876,0.078,2.8,9450,0.255,0.039,9.2,2525,3.23,11.7,3.9754,3.4023,0.5092,1.0682
7.9,13.3,5.7,321,3.6,5.9,13.3,2.727,0.077,3.7,8640,0.168,0.018,22.8,2456,3.538,41.9,3.9365,3.3902,0.5488,1.6222
8.2,12.8,9.8,282,5.7,9.4,20.9,1.926,0.106,5.5,17300,0.087,0.036,120.6,1200,2.81,7.8,4.238,3.0792,0.4487,0.8921
8.3,10.1,16.7,276,8.1,12.4,28.3,1.799,0.152,6.7,33500,0.172,0.046,117.7,8610,2.707,8.9,4.525,3.935,0.4325,0.9494
8,11.5,20.9,311,4.8,11.3,20.1,1.591,0.123,6.9,16725,0.283,0.038,32.8,748,2.093,28.1,4.2234,2.8739,0.3208,1.4487
8.1,10.4,24.3,245,5,12.3,19.1,2.192,0.102,6.9,30750,0.266,0.029,53.7,5750,3.473,42.1,4.4878,3.7597,0.5407,1.6243
7.9,6.9,27.3,217,3.1,9.1,13.7,2.301,0.156,5.1,70750,0.378,0.095,14.2,29465,10.418,211.7,4.8497,4.4693,1.0178,2.3257
7.7,7.9,27.3,161,2.9,8.4,30.7,1.697,0.138,4.4,266500,0.237,0.081,24.1,208250,31.665,273.8,5.4257,5.3186,1.5006,2.4374
8,9.3,24.4,188,1.9,6.7,15.3,1.082,0.079,3.8,25550,0.043,0.04,37.4,8435,12.089,108.8,4.4074,3.9261,1.0824,2.0366
8.3,10.5,19,281,3,6.2,7.8,1.412,0.067,3.3,8000,0.049,0.022,46.3,3725,3.39,85.4,3.9031,3.5711,0.5302,1.9315
8.2,13.5,11.2,339,4.6,7.5,9.3,2.115,0.103,4.1,36650,0.402,0.018,58.2,19525,2.222,2.1,4.5641,4.2906,0.3467,0.3222
7.9,13.4,5.2,376,4.1,7.4,8.4,2.832,0.11,4.4,62750,0.227,0.018,43.1,12425,2.623,28.5,4.7976,4.0943,0.4188,1.4548
7.9,14.8,4.7,355,4.6,7.3,10.7,2.902,0.092,3.8,71250,0.174,0.012,53.8,8600,2.826,38.8,4.8528,3.9345,0.4512,1.5888
8.2,11.2,4.3,354,3.6,7.4,9.3,2.453,0.073,3.6,16450,0.129,0.013,40.2,988,2.31,22,4.2162,2.9948,0.3636,1.3424
7.4,11.6,12,263,3.6,8.5,19.8,2.838,0.122,4.8,65250,0.329,0.03,49.9,5203,11.389,115.8,4.8146,3.7163,1.0565,2.0637
7.9,10.9,15.9,229,3.5,8.1,21.7,2.285,0.115,4.2,40500,0.126,0.032,55.6,9900,6.176,127.4,4.6075,3.9956,0.7907,2.1052
7.9,10.4,21.2,215,3.5,8.8,31.6,2.297,0.124,5.1,90000,0.191,0.059,51,1898,7.879,85.4,4.9542,3.2783,0.8965,1.9315
7.8,9.3,25.6,251,3.2,10.2,22.2,1.731,0.105,5.8,14400,0.118,0.027,66,1313,5.507,222.4,4.1584,3.1183,0.7409,2.3471
7.7,10.3,26.8,182,2.7,9.1,31,1.676,0.139,4.5,13850,0.067,0.073,55.9,3132,26.962,84.5,4.1414,3.4958,1.4308,1.9269
8,8.8,28.7,176,2.6,7.9,17,1.054,0.14,4.4,7000,0.047,0.078,47.4,6125,32.126,397.1,3.8451,3.7871,1.5069,2.5989
7.8,8.9,24.7,175,0.8,4.8,7.3,1.855,0.101,2.9,7800,0.061,0.05,35.9,2417,11.455,129.7,3.8921,3.3833,1.059,2.1129
8,12.4,17.7,283,2.8,6,9.6,1.893,0.1,3.6,11720,0.082,0.032,42.7,3380,6.158,125.2,4.0689,3.5289,0.7894,2.0976
7.9,15,11.3,289,3.3,6.1,9.4,1.993,0.104,3.8,22875,0.078,0.02,47.5,3020,2.32,47.2,4.3594,3.48,0.3655,1.6739
7.8,9.7,6.6,294,2.9,5.3,6.8,2.922,0.102,3,33175,0.191,0.038,29.1,3538,3.693,32.4,4.5208,3.5488,0.5674,1.5105
7.6,14.4,4.6,304,3,5.6,5.5,2.539,0.086,3.2,7800,0.1,0.021,28,1485,2.649,16.4,3.8921,3.1717,0.4231,1.2148
7.5,12.8,5.9,288,4.1,8.8,12.3,2.396,0.116,3.6,7800,0.087,0.012,57.7,550,2.677,37,3.8921,2.7404,0.4276,1.5682
8,12.6,8.8,256,6.1,10,20.7,2.158,0.145,5.4,30200,0.247,0.024,95.3,2410,2.001,33.9,4.48,3.382,0.3012,1.5302
8.1,10.8,15.2,275,6.1,10.6,17,2.63,0.153,5.5,83732,0.606,0.022,52.9,3567,2.843,84.7,4.9229,3.5523,0.4538,1.9279
8.3,10.8,19.6,240,4.7,10.5,23.7,1.827,0.144,5.5,8775,0.285,0.031,32,2975,5.198,78.8,3.9432,3.4735,0.7158,1.8965
7.8,8.4,23.6,207,3.3,10.3,13.3,2.04,0.095,6,13495,0.169,0.04,31.3,2265,5.329,158,4.1302,3.3551,0.7266,2.1987
7.9,9.6,24.4,196,2.6,9.2,16.5,2.075,0.12,5.2,23525,0.187,0.062,23.7,3400,13.018,242.2,4.3715,3.5315,1.1145,2.3842
8.3,9,27.5,188,2.9,8.8,31.2,1.685,0.144,5.5,106875,0.115,0.082,26.3,76490,6.699,64.8,5.0289,4.8836,0.826,1.8116
7.8,9.4,23.8,202,1.2,6.7,5.9,1.805,0.117,3.6,13000,0.077,0.071,12,3120,10.641,165.8,4.1139,3.4942,1.027,2.2196
8,12.7,18.8,209,1.6,5.6,7.2,2.095,0.078,3.3,12550,0.065,0.037,18.9,3005,6.811,149.9,4.0986,3.4778,0.8332,2.1758
7.9,11.2,13.3,256,2.9,8.5,18.3,2.508,0.118,4.3,170175,0.414,0.046,17.3,23885,3.572,22.8,5.2309,4.3781,0.5529,1.3579
8.5,17.7,6.5,305,5.9,9.5,22.5,2.439,0.133,4.3,17120,0.113,0.022,100.1,3041,3.814,31.6,4.2335,3.483,0.5814,1.4997
7.5,14.9,7.9,413,2.9,6.7,4.9,8.417,0.088,3.4,74500,4.182,0.048,4.3,16800,4.897,47.2,4.8722,4.2253,0.6899,1.6739
7.6,11.5,8.9,450,5.3,8.4,9.7,9.795,0.116,4.1,51000,5.869,0.065,12.3,4600,4.571,23.9,4.7076,3.6628,0.66,1.3784
7.5,10.4,11.9,468,5.2,9.4,10,10.757,0.103,4.9,32800,6.915,0.012,46.4,1920,2.509,36.5,4.5159,3.2833,0.3995,1.5623
7.5,9.3,17.1,393,6.9,11.1,16.5,8.068,0.164,5.1,242000,4.006,0.053,43.6,16300,5.934,145.5,5.3838,4.2122,0.7733,2.1629
7.6,9.2,22.1,378,5.6,10.5,14.5,6.933,0.081,4.7,28530,3.373,0.015,32.9,5300,5.461,48.6,4.4553,3.7243,0.7373,1.6866
7.7,9.1,24.4,329,6,10.1,18.4,5.847,0.085,5.6,51500,2.969,0.02,26.1,5250,4.959,96.1,4.7118,3.7202,0.6954,1.9827
7.7,7.5,25.7,240,6.1,9,13.3,3.482,0.142,4.8,190000,1.219,0.079,16.4,28750,9.366,164.3,5.2788,4.4586,0.9716,2.2156
7.6,7.5,27.2,285,5.6,9.5,9.6,4.637,0.162,4.2,224500,2.118,0.096,27,38250,6.264,148.9,5.3512,4.5826,0.7969,2.1729
7.7,8.5,24.6,304,2.5,7,4.7,4.47,0.081,3.8,25000,1.372,0.048,15.4,10250,4.607,66.6,4.3979,4.0107,0.6634,1.8235
7.5,9.7,20.7,345,4.9,8.6,13.5,6.371,0.119,5.1,189250,1.86,0.071,15.3,44400,4.505,90.9,5.277,4.6474,0.6537,1.9586
7.5,9.4,16.2,380,3.7,8,6.8,5.647,0.1,4,43450,1.743,0.057,15.6,7575,5.923,121.9,4.638,3.8794,0.7725,2.086
7.2,10.5,11.8,416,1.7,5.6,4.4,6.283,0.071,3.1,18000,1.505,0.044,3.1,2465,6.722,59.2,4.2553,3.3918,0.8275,1.7723
7.4,13.1,7.5,481,2.9,6.2,4.2,7.986,0.078,3.3,6550,2.403,0.042,8.3,2000,3.479,49.9,3.8162,3.301,0.5415,1.6981
7.5,12.4,7.4,410,2.7,7.1,6.2,7.365,0.114,3.5,31500,3.088,0.064,7.8,12900,7.489,45.2,4.4983,4.1106,0.8744,1.6551
7.2,10.5,12.5,408,4.5,8.7,17.4,8.296,0.197,4.6,53440,3.339,0.096,19.9,68420,6.155,55.2,4.7279,4.8352,0.7892,1.7419
7.9,9.4,18.5,281,6.8,10.1,17.1,6.496,0.195,4.5,54750,2.19,0.09,35.3,10125,9.168,185,4.7384,4.0054,0.9623,2.2672
7.5,9.1,21.3,299,4.2,8,7.9,4.834,0.147,4,22750,1.77,0.07,22.3,2310,7.687,104.5,4.357,3.3636,0.8858,2.0191
7.4,7.5,24.5,326,5.9,8.8,8.2,6.267,0.156,5,24840,2.91,0.088,14.3,5060,7.129,116.1,4.3952,3.7042,0.853,2.0648
7.6,9,27.1,265,4.2,7.2,10.6,4.403,0.153,3.8,13900,1.588,0.106,20.2,8300,8.753,301.4,4.143,3.9191,0.9422,2.4791
7.8,8.3,28.4,348,5.3,9.1,11.4,5.729,0.137,4.7,26240,2.185,0.072,60.7,13280,6.257,81,4.419,4.1232,0.7964,1.9085
7.5,8.5,24.9,304,3,7.2,7.3,4.198,0.121,3.9,31500,1.672,0.078,10.9,7150,16.274,251.3,4.4983,3.8543,1.2115,2.4002
7.1,10,19.7,268,2.7,5.4,5.5,4.29,0.198,3.6,81250,1.158,0.139,2.1,38100,14.034,216.7,4.9098,4.5809,1.1472,2.3359
7.5,10.9,14.6,336,4,6.1,5.4,7.694,0.082,4.1,28400,2.517,0.028,20.8,12080,3.671,31.5,4.4533,4.0821,0.5648,1.4983
7.7,12.4,11.2,469,4.5,6.9,7.6,8.209,0.132,4.3,72250,2.823,0.029,29.5,15900,3.439,44.9,4.8588,4.2014,0.5364,1.6522
7.6,12.4,8.1,468,4,7.1,5.1,9.673,0.14,4,40200,4.036,0.068,10.8,6250,3.23,11.7,4.6042,3.7959,0.5092,1.0682
7.5,11.9,9,443,4.5,7.8,7.9,11.091,0.164,5.2,109800,6.001,0.06,18,23280,3.538,41.9,5.0406,4.367,0.5488,1.6222
7.6,11.5,12.6,458,6.9,10.9,14.4,9.863,0.197,6.3,30750,6.093,0.032,71.4,4595,2.81,7.8,4.4878,3.6623,0.4487,0.8921
7.6,10.3,17.8,379,7.1,11.6,17.2,7.39,0.115,6.4,82250,3.024,0.027,71.2,7925,2.707,8.9,4.9151,3.899,0.4325,0.9494
7.6,9.6,22.2,494,4.9,11.1,11.7,10.628,0.153,6.9,38750,5.755,0.047,22.3,3825,2.093,28.1,4.5883,3.5826,0.3208,1.4487
7.9,11.5,24.7,352,7.6,13.6,17.7,7.221,0.113,7.4,42325,3.318,0.022,67.4,8450,3.473,42.1,4.6266,3.9269,0.5407,1.6243
7.6,7.1,27.1,269,5.3,9.6,14.1,4.371,0.175,5.2,78000,1.908,0.099,15.1,40250,10.418,211.7,4.8921,4.6048,1.0178,2.3257
7.5,8.1,27,210,4.5,9.6,30.3,5.23,0.223,4.9,263500,2.715,0.149,21.8,221750,31.665,273.8,5.4208,5.3459,1.5006,2.4374
7.3,7.5,24.3,361,3.7,7.5,13.6,5.886,0.128,4.1,144000,2.389,0.067,23.4,80350,12.089,108.8,5.1584,4.905,1.0824,2.0366
7.4,9,20.5,414,4.7,7.5,7.2,6.957,0.094,3.8,31350,3.205,0.034,33.9,21775,3.39,85.4,4.4962,4.338,0.5302,1.9315
7.5,10.9,13.8,479,5.4,8.7,8.3,8.074,0.089,5.3,4875,3.185,0.006,53.9,2440,2.222,2.1,3.688,3.3874,0.3467,0.3222
7.7,12.3,8.2,512,8,10.2,16.9,7.947,0.119,5.7,56575,4.105,0.007,68.1,26600,2.623,28.5,4.7526,4.4249,0.4188,1.4548
7.5,13,8.4,485,7.3,10.5,18.3,10.486,0.136,5.5,95750,5.766,0.034,64,44950,2.826,38.8,4.9811,4.6527,0.4512,1.5888
7.8,13.7,9,448,5.9,10,11.2,11.501,0.106,5.6,69500,8.594,0.021,50.6,27585,2.31,22,4.842,4.4407,0.3636,1.3424
7.2,11.3,13.3,337,8,12,25.7,8.14,0.191,6.1,290750,5.037,0.079,50.3,104635,11.389,115.8,5.4635,5.0197,1.0565,2.0637
7.5,10.8,16.5,326,7.4,9.9,22.1,7.026,0.166,4.8,230500,3.789,0.09,45.3,61650,6.176,127.4,5.3627,4.7899,0.7907,2.1052
7.7,11.1,21.2,309,9.1,9.8,22.7,5.548,0.236,5.4,64750,3.31,0.136,66.6,3225,7.879,85.4,4.8112,3.5085,0.8965,1.9315
7.3,9.8,25.8,303,5,9.7,14.7,5.33,0.114,5.6,11800,3.187,0.038,47.1,3300,5.507,222.4,4.0719,3.5185,0.7409,2.3471
7.3,8.2,26.8,321,8,10.2,21,6.915,0.208,4.8,243000,4.75,0.133,31.3,83251,26.962,84.5,5.3856,4.9204,1.4308,1.9269
7.6,8.8,29.3,357,6.6,10.2,18.3,7.542,0.187,5.3,146300,5.504,0.11,38.7,53150,32.126,397.1,5.1652,4.7255,1.5069,2.5989
7.3,7.8,24.7,262,4.1,6.2,10.4,5.072,0.166,3.6,54000,2.862,0.095,28.1,18267,11.455,129.7,4.7324,4.2617,1.059,2.1129
7.4,11.4,18.9,393,5.1,7.1,9.8,7.143,0.192,4.2,26920,3.638,0.11,35.2,12300,6.158,125.2,4.4301,4.0899,0.7894,2.0976
7.7,9.6,14.7,442,7.9,8.4,10.3,9.608,0.255,5.1,82050,6.539,0.138,33.4,29550,2.32,47.2,4.9141,4.4706,0.3655,1.6739
7.6,8.2,9.4,449,7.2,9.1,12.9,11.538,0.344,5,248500,5.954,0.229,37.7,156925,3.693,32.4,5.3953,5.1957,0.5674,1.5105
7.3,12.4,8.6,474,6,8.1,9.7,9.384,0.122,5,15750,6.281,0.026,40.5,2750,2.649,16.4,4.1973,3.4393,0.4231,1.2148
