Flow,Temp,pH,DO,BOD,COD,SS,EC,TN,TP,TOC
4.408,15.7,8,10,1.3,4.3,21.4,166,2.411,0.048,2
9.083,20.8,8,10.3,2.2,5.8,23.1,165,2.429,0.067,3
0.308,25.5,8.3,9.7,3.4,7.5,10.5,300,2.123,0.084,4.7
4.376,24.4,8.1,9.8,2.6,6.1,14.5,208,2.522,0.058,3.7
0.865,26.6,8.2,8.5,3,7.3,14.9,308,2.035,0.074,3.5
4.722,23.7,8.2,9.3,2.4,6.8,16.9,240,2.058,0.048,3.6
0.348,20.8,8.3,10.4,2.3,7.3,8.8,371,2.151,0.039,4.2
0.965,15.6,7.8,9.9,1.7,5.9,8.8,327,2.925,0.034,3.5
0.394,8.8,7.7,12.8,1,3.9,6.1,274,2.749,0.016,2
0.378,4.4,7.6,14.3,0.5,3.5,5,429,2.967,0.028,1.8
1.959,6.4,7.7,12.8,0.7,4.2,9.6,226,3.108,0.028,2.2
3.695,12.6,7.7,11.3,1.5,4.5,12.3,194,3.741,0.031,2.3
3.555,16.2,7.7,10.6,1.6,4.1,11,151,2.409,0.028,2
1.668,20.2,7.9,9.5,1.6,4.7,10.3,182,2.277,0.029,2.6
0.388,25.8,7.9,9,2.4,6.5,9.6,250,2.162,0.046,4.4
9.776,24.3,7.2,8,2.6,7.1,22.1,164,2.837,0.129,2.9
0.065,31.1,8.9,9.9,2.8,9.5,18.2,268,2.448,0.068,7.8
4.534,22.1,7.1,8.4,0.8,4.5,8,165,2.961,0.048,2
61.867,18.8,7.2,8.8,1.5,7.8,82.5,129,2.2,0.073,1.8
0.424,14.1,7.9,12.6,1.5,5.4,8.4,271,2.702,0.017,4.2
0.163,6.6,7.7,13.6,0.9,3.9,2.6,332,3.25,0.019,3
1.39,7.8,7.8,10.1,5.8,9.1,10.4,424,5.483,0.229,4.4
0.985,9.4,7.7,11.6,5.2,10.2,10.7,556,4.583,0.168,5.6
0.957,13.2,7.8,11.1,5.6,9.6,9.9,583,4.962,0.125,7.6
6.135,17.3,7.6,10.2,2.9,6.7,7.2,409,3.447,0.06,2.2
0.754,22.9,8.3,11.2,7.6,10,14.1,560,3.878,0.091,5.7
1.978,23.3,7.6,9.6,5.2,9.6,22.1,616,4.533,0.138,5.7
7.708,24.5,7.8,9.1,4.8,9.1,16.5,369,3.613,0.139,4
4.654,27,7.8,8,2.3,5.8,12.4,382,3.093,0.12,3.7
32.296,22.1,7.2,8.1,1.6,4.9,35.2,276,2.917,0.095,2.6
1.228,19.1,8.3,12.4,5.5,8.7,18.7,567,4.454,0.087,4.4
1.548,12.2,7.6,11.4,2.2,5.4,7.7,534,4.324,0.094,3.4
1.216,7.2,7.5,13.3,2.3,7.2,7.2,697,6.842,0.155,4.3
9.261,3.9,7.3,13.8,1.9,5.3,4.7,523,6.364,0.064,3.6
0.967,7.7,7.2,12,3,6.2,9.7,399,7.316,0.111,3.7
6.078,12.2,7.4,12.1,3.4,6.6,12.8,391,7.077,0.108,3.7
3.877,16,7.8,12.5,4.7,7.6,12.3,380,5.64,0.112,3.7
0.643,22.4,7.9,11.7,7.7,10.2,16.2,467,6.039,0.153,5.3
1.888,24.5,7.9,11.2,5.1,8.1,16.3,421,5.425,0.101,5
11.998,26.4,8.1,9.8,3.8,7,14.5,324,3.412,0.084,4
1.072,31,8.3,8.2,5.2,8.5,11.8,271,2.322,0.1,4.2
0.532,25.7,8.1,9.7,3.1,8,13.6,404,4.075,0.12,5.3
0.705,20.2,8.1,11.4,3.5,7.4,14,420,4.485,0.084,4.1
0.996,13.9,8.2,12.2,4.4,8.2,9.4,594,5.245,0.105,4.1
0.885,9.2,8,13,3.8,7.3,8.4,637,6.195,0.104,4.3
0.477,6.1,8.2,15.8,6.6,11.1,12.5,686,7.371,0.121,6.3
0.573,9.3,7.9,14.1,5.6,9.9,8.1,697,7.689,0.141,5.8
1.454,11.8,7.5,11,3,6.8,15.1,454,6.305,0.094,4.2
2.626,16.7,7.5,11.9,3.9,7.9,11.4,380,5.126,0.097,4.3
9.228,21.7,7.8,10.4,5.5,9.1,21.8,390,3.823,0.16,4.8
0.573,23.7,7.8,9.1,4.8,9,15.5,504,4.224,0.109,5.5
2.094,26,7.5,7.8,5,8.9,14.3,386,4.081,0.124,5.4
43.267,21.5,7.2,7,1.4,4.4,20.3,154,3.003,0.078,2.6
2.255,23.4,7.7,8.8,3.5,6.3,10.3,332,4.051,0.08,4.1
6.121,19,7.6,8.6,2.1,6.1,19,384,3.484,0.093,3.4
1.316,14.6,7.6,10.3,2.7,6.2,9.8,454,4.9,0.082,3.7
1.593,9,7.6,11.1,2.3,6.5,7.4,478,5.855,0.087,4
1.394,8.1,7.6,12.4,2.4,7.5,6.6,585,5.928,0.091,4.9
0.895,8.1,7.8,13,4.5,8.5,10,547,6.814,0.1,5.2
0.622,11.8,8.2,12.8,4.3,8.3,12.3,446,6.087,0.089,4.8
9.593,15.2,7.7,10,3.5,5.9,15.9,223,3.286,0.094,2.9
9.473,21.3,7.8,9.4,4.4,7.3,27.4,279,3.856,0.136,4.7
0.597,25.5,8.6,9,5.3,9.9,15.9,450,3.374,0.135,6.5
4.173,23.8,8.1,9.4,2.6,6.5,16.7,335,3.267,0.072,4.5
0.886,26.7,7.8,7.3,3.6,8.3,20.4,531,3.234,0.078,5.1
3.147,24.1,7.9,7.9,2.4,6.3,12.9,340,3.375,0.078,3.4
1.284,20.9,8.2,10,3.1,7.2,10.5,398,3.782,0.056,4.1
1.809,16.6,7.9,8.8,2,6.3,11.1,382,2.893,0.047,4
1.036,11.2,7.9,10.9,1.5,5.8,5.7,502,4.667,0.041,3.5
0.735,5.5,8.1,13.1,1.7,6.4,6.8,523,4.219,0.042,4.1
4.569,8.3,7.7,11.8,2.8,6.9,9.2,294,3.753,0.07,4.4
4.625,12.9,7.6,11.2,2.4,5.6,9.4,283,3.241,0.05,3.4
5.327,16.4,7.6,9.7,4.2,6.5,16.1,259,2.418,0.078,5.9
6.428,20.1,7.8,9,4.6,7.6,21.1,349,2.415,0.067,4.3
0.969,26,8.4,8.9,5.6,9.7,13.7,370,4.13,0.077,7.1
15.128,25.1,7.9,7.7,4.1,7.7,54,219,2.917,0.125,4.5
0.49,31,9,8.1,4.9,11.5,22.6,340,2.551,0.112,8.5
7.943,22.1,7.6,8.3,1,4.5,12.1,230,2.887,0.04,2
96.433,19.4,7.7,9,1.5,10.4,397.9,165,2.581,0.065,1.8
1.534,15.6,8.1,10.8,2,6,8,367,2.904,0.028,3.1
1.018,10,7.7,11.2,2.4,6.9,6.2,533,3.66,0.174,4
0.52,7.2,8,12.6,5.3,9,20.8,422,3.265,0.065,5.4
0.373,8.7,7.6,12.5,6.5,10.3,28.6,494,3.79,0.096,7.4
0.393,13.6,7.8,12,8.2,12,27.4,604,5.01,0.133,8.5
0.426,19.2,8.2,11.5,6.9,12.1,19.5,538,4.241,0.106,8.6
0.178,23.1,7.8,9.3,5.7,10.8,23.3,708,5.396,0.093,8
0.604,25.2,7.2,7.2,6,14.4,25.4,473,4.626,0.174,9.9
11.016,26.3,7.5,6.4,3.7,10.9,40.8,335,3.115,0.182,7.8
1.446,28.7,7.6,6.3,3.1,8.8,28.8,320,2.345,0.24,6.3
9.105,25,7.3,7.1,2.5,6.6,34.2,269,2.632,0.121,4.1
0.342,19.7,7.7,9,3.2,7.6,23,506,3.673,0.098,4.6
1.263,11.2,7.8,11.3,5.2,9,25.4,450,3.144,0.135,5.6
0.773,5.5,7.5,12.9,5.6,8.3,24,601,4.413,0.135,5.2
0.856,5.2,7.6,13.6,4.3,7.3,17.4,533,4.612,0.109,5.1
1.097,7.2,7.2,11.1,5.4,9.2,47,469,5.928,0.169,5.3
2.361,13.3,7.7,11.6,6.9,10.9,54.6,389,4.442,0.213,5.3
0.694,15.1,7.7,10.8,6.7,9.3,30.2,455,4.665,0.17,5
6.426,22.5,7.5,9.4,6.4,11.4,83.4,338,3.954,0.242,6.6
0.313,25.9,7.1,6.3,5.3,12.1,24.2,420,4.818,0.16,8.5
4.032,28.3,7.2,7.1,4.4,10.5,40.1,299,2.801,0.179,6.4
0.026,30.8,7.1,6.2,3.9,9.8,16.9,296,2.383,0.159,6.7
0.326,27.1,7.2,7.2,3.2,8.6,16.8,389,3.224,0.124,6.5
0.903,19.7,7.1,6.4,3.1,8.2,23.2,396,3.441,0.127,5.2
1.315,12.9,7.6,9.4,6,10.1,30.4,384,3.539,0.178,6.1
0.504,8.4,7.4,11,4.1,8.6,15.1,695,5.499,0.129,5.4
0.318,5.9,7.5,12.8,4.6,9.4,12.9,663,5.531,0.131,6.1
0.22,8.1,7.6,12.6,4,9.3,13.4,766,7.66,0.11,5.5
0.512,13,7.8,12.1,4.8,9.9,14.5,640,6.396,0.12,6.8
0.447,18.1,7.8,11.6,6.6,10.7,18,537,4.992,0.122,6.6
0.242,24.1,7.3,8.8,5.3,11.2,20.5,380,2.946,0.122,7.1
0,25.3,7.3,6.6,4.7,14.6,13.5,573,4.87,0.132,10.1
0.966,27.3,7.3,6.7,3.2,12.4,18.2,450,3.152,0.199,9.8
23.029,23,7,6.2,2.9,7.9,90.4,177,2.608,0.22,4.5
0.686,25.1,7.3,7.5,3.6,8,23.8,336,2.653,0.152,5
1.796,19.1,7.5,8,4.9,9.3,28.9,328,3.047,0.143,5.5
1.312,13.4,7.5,8.2,4.4,8.7,35.6,326,3.538,0.166,5.4
3.61,8.6,7.5,10.7,3.4,7.3,19.8,320,2.854,0.092,4.9
0.423,7,7.7,13.1,5.8,9.3,15.5,546,5.868,0.124,6.2
0.225,7,7.8,12.3,5.4,9.8,14.3,584,7.177,0.129,6.3
0.189,11.5,8.4,13.6,7.3,11.8,26.4,578,7.226,0.139,6.8
0.839,16.6,8,9.9,6.8,9.9,35.2,455,5.372,0.147,6.3
1.729,22.4,7.4,7.7,5.7,10.3,36.7,337,2.313,0.194,7.1
0.311,25,7.5,5.7,4.3,12.6,22.5,493,4.029,0.166,9.6
7.474,24.7,7.4,5.9,3.7,11.4,66.6,370,3.18,0.123,8.1
1.68,27.6,7.5,5.7,3.4,9.4,23.9,351,1.777,0.119,6.6
1.879,24.5,7.6,6.1,3.3,8.5,27.7,345,2.255,0.098,5.2
0.588,20.1,7.6,7,3.6,8.4,19.2,435,3.308,0.07,5.4
0.738,15.5,7.6,6.7,3.9,9,22.7,454,3.486,0.086,6.5
0.4,10.8,7.7,9,3.9,8.3,22.4,644,3.868,0.071,5.5
0.351,6.5,7.9,11.5,3.8,8.2,12.8,552,4.002,0.075,6.1
2.37,6,7.6,11.2,5.4,9.2,22.7,424,3.841,0.087,6.8
1.214,14.1,7.8,11,6.6,9.7,27.1,486,4.285,0.083,7.2
7.993,18.6,7.5,8,5.5,10.4,105.7,362,3.186,0.077,9
1.064,23,7.8,8.8,4.6,10.2,33.2,363,2.528,0.073,7.1
0.824,26.3,7.7,5.1,4.6,13.4,20.3,456,3.008,0.092,10.7
8.097,28.1,8.2,9.6,6.4,12.1,92.1,349,2.587,0.163,9.4
0.323,32.7,8.1,9.5,5.2,10.7,19.4,523,3.045,0.115,8
19.748,23.7,7.3,5.5,2.1,7.1,43.9,245,2.531,0.087,4.3
6.218,20.4,7.3,6.3,3.4,8.4,69.1,305,2.673,0.085,5.2
0.472,15,7.7,11,6.6,9.1,19.6,502,4.14,0.06,5.6
0.592,8.5,7.9,12.4,6,9.3,19.5,451,2.865,0.075,6.3
0.272,13.7,7.9,9.5,2.5,14.4,13,1669,7.37,0.041,11.6
0.273,14.7,7.7,9.1,2.5,15.8,10.2,1802,8.134,0.047,12.8
0.338,16.6,8,9.6,3.1,13.3,5.6,1470,7.139,0.043,10.6
0.704,20.7,8,8.6,2.4,11.3,17.3,1199,5.939,0.056,9.5
0.74,23,7.8,8,2.1,10,13.2,891,5.112,0.048,8.1
1.416,22.8,7.5,7.6,2.5,10.6,33.9,548,3.636,0.135,7.3
4.95,26.2,7.7,7.8,2.2,9.5,48.2,562,3.643,0.156,7.2
1.098,27,7.6,7.7,1.8,7.8,15,478,3.058,0.137,6.1
3.251,25,7.7,8.3,1.5,8.9,20.6,529,3.112,0.073,6.1
0.317,21.7,8,8.3,2.6,12.1,16.1,667,5.5,0.103,6.9
0.56,14,7.8,9.9,1.3,14,11.1,964,5.788,0.083,7.2
0.523,8.6,7.8,9.9,1.2,12.5,15,842,4.993,0.081,6.8
0.38,4.6,8,13.5,1.7,10.6,11.1,670,5.902,0.08,5.7
0.669,7.3,8,12,1.9,10.7,8.4,683,6.008,0.06,5.1
0.948,14.4,7.9,10.1,2.3,13.2,26.7,834,5.676,0.101,5.9
0.683,17.1,7.8,9.7,2.3,11.1,30.4,778,4.552,0.122,6.1
1.471,22.3,7.8,8.4,2.6,10.4,46.6,623,3.917,0.125,6.7
1.19,25.1,7.7,7.7,2.1,11.1,25,676,4.303,0.111,7
2.234,26.8,7.7,7.5,1.9,9.5,20.6,496,4.249,0.125,6.7
1.23,29.1,7.7,7.2,2.2,10.5,12.3,662,3.299,0.119,7.7
0.973,25.7,8.1,8.4,3.5,11.6,16.3,733,4.069,0.138,7.6
0.81,20.7,7.9,8.4,1.5,10.2,11.2,1059,4.2,0.067,6.3
0.696,14.5,7.9,9.9,1.6,12,11.2,1148,4.79,0.094,6.5
0.282,15.3,7.6,9.7,1.4,15.6,12.6,1731,6.808,0.095,7.3
0.178,11.8,7.6,11.1,1.9,13.8,8.3,1757,9.624,0.066,5.6
0.42,14,7.5,9.8,1.1,14.8,8.5,1905,9.108,0.06,5.3
0.269,19,7.4,9.6,1.7,17.3,7,2559,9.276,0.064,5.8
0.274,23.2,7.3,9.5,1.8,15,9.5,2041,7.706,0.076,6.3
0.88,23.3,7.4,8.6,2,10.7,12.6,905,2.945,0.065,6.3
0.99,24.2,7.4,7.8,2.7,11.9,13,731,3.521,0.11,7.9
1.315,27.5,7.5,7.3,2.7,13.3,16.1,873,4.339,0.165,9.2
10.417,23.3,7.5,9,1.8,8.1,24.5,442,3.719,0.145,5.9
0.888,25.5,7.7,9.4,2.1,9.5,10.8,761,3.907,0.073,6.5
1.399,19,7.6,8.8,2,8.6,21,746,3.004,0.071,6
0.95,15.1,7.3,10.2,2.8,11.3,19.5,1032,6.033,0.113,7.4
0.449,11.1,7.8,12,3,9.5,17.2,829,5.074,0.074,6.2
0.197,13.3,7.4,11,2.9,13.4,10,1938,9.147,0.066,8.5
0.171,14.9,7.2,10.6,3.5,17.8,9.2,2407,8.373,0.114,15
0.282,16.5,7.3,9.2,2.5,17.8,16.1,2296,9.786,0.099,14
0.576,18.4,7.5,9.2,3.4,10.5,39.6,1331,5.025,0.103,8.2
0.78,24.4,7.7,10.4,2.4,9.2,20.5,842,3.473,0.118,6.9
0.563,27.4,7.5,8.4,2.7,11.5,17.7,1206,4.85,0.131,9.9
2.196,25.5,7.5,8,2.2,10.1,23,830,4.589,0.138,8.1
2.433,24.8,7.3,8.7,2.7,8.6,20.4,624,2.955,0.097,6
0.49,26.3,7.3,8.9,2.4,10.1,23,1286,5.44,0.076,8.5
0.268,24.6,7.2,8.5,3,13.3,13.4,1878,8.112,0.072,11.7
0.333,19.4,7.2,9.7,2.4,11.9,15.2,1552,7.787,0.089,10.4
0.204,16.8,7.1,10.4,2.7,14.3,14.5,2047,9.963,0.093,13.2
0.167,13.4,7.4,9.1,3.3,20.9,12.5,2140,11.959,0.097,17.7
0.282,12.6,7.6,10.1,4,15.3,14.2,1689,8.888,0.08,13.8
0.497,17.2,7.8,10,2.9,11.7,18.9,1274,6.693,0.056,10
1.43,18.7,7.9,11.4,2.4,9.6,10.7,822,3.71,0.035,8.1
1.973,21,7.8,8.9,2.7,9.4,18.5,713,2.943,0.053,7.1
1.546,25,7.6,8.1,2.5,10.2,18.5,605,4.032,0.102,7.9
1.011,28.5,7.6,7.6,2.8,8.9,14.9,853,3.913,0.131,7.2
0.721,31.8,7.4,6.7,1.5,10.1,7.6,1053,4.925,0.1,8.9
1.239,25.4,7.7,7.8,1.7,9.1,8.9,728,4.563,0.08,6.3
5.935,20.7,7.8,8.9,2.2,10.2,34.3,626,3.721,0.096,6.4
0.442,18.2,7.8,9,2.2,12.1,14.1,1357,5.662,0.038,9.5
0.276,15.3,8,9.3,1.6,13.4,8.6,1567,8.071,0.034,10.8
0.607,5.9,7.7,13.2,0.8,2.7,4.7,184,2.499,0.041,1.3
0.316,6.1,7.8,13.3,1.5,3.6,7.3,211,2.268,0.078,2
0.396,10.8,8,13.3,2.8,4.9,11.3,220,1.951,0.056,1.7
1.448,17,7.7,10.1,1,3.2,9.8,175,2.677,0.034,1.6
0.271,22.8,8.9,10.4,3.5,5.7,11.5,201,1.332,0.042,2.5
0.802,24.1,7.3,8.7,2.8,4.8,22.5,247,2.643,0.096,3.1
3.63,25.6,7.4,8.4,1.4,4,18.5,203,3.549,0.057,2.5
4.963,27.6,7.1,7.8,1.6,4.4,14.2,208,2.996,0.073,2.7
16.089,23.6,7.4,8.9,1.2,4,19,159,2.679,0.074,2.5
0.48,17.7,7.5,9,1.7,3.7,8.2,230,2.438,0.038,2
0.654,11.2,7.7,10.5,1.3,3.4,30.2,231,2.479,0.041,1.6
0.761,5.9,7.7,11.3,3.7,5.2,6.2,228,2.727,0.038,2.8
0.401,4.7,7.7,12.3,9.1,10.6,5.9,225,3.159,0.051,6.9
1.387,6.2,7.5,11.1,6.8,7.1,11.5,184,3.425,0.042,4.3
3.77,11,7.3,11.7,1.6,3.7,18.1,183,3.067,0.055,2
1.175,14.8,7.5,11.4,1.7,3.4,14.2,177,2.707,0.065,1.8
0.338,22.5,7.7,8.7,2.4,4.6,12.4,198,1.535,0.066,2.5
0.731,25.1,7.5,7.4,2.3,4.7,16.5,216,3.65,0.061,2.6
8.505,26.8,7.4,6.9,2.3,5.1,13,192,3.216,0.063,3
2.581,30.2,7.7,8.1,1.7,4.6,13.4,203,1.955,0.069,3.3
0.759,25.1,7.6,8.3,1.8,4.2,13.3,232,1.738,0.063,2.4
0.794,19.4,7.6,8.4,1,2.8,13.2,210,2.739,0.053,1.5
0.332,11.3,7.7,10.1,2.6,4.4,10.3,247,2.261,0.049,2.1
0.416,6.4,7.9,12.4,5.1,5.8,3.8,249,2.444,0.034,3.3
0.169,4.7,8.2,12.1,4.9,5.5,4.8,282,2.529,0.044,3.2
0.195,6.6,7.7,12.3,6.4,7.2,9.3,270,1.984,0.055,3.8
0.455,11,7.6,10.3,3.9,5.9,12,235,3.008,0.064,3.8
1.144,16.3,7.7,10.6,2.1,4.3,14.1,193,3.553,0.053,2.4
1.153,22.5,7.6,8.4,2.3,4.6,14,196,1.665,0.062,2.9
0.239,24.2,7.2,7.6,2.5,5.6,14.5,264,1.952,0.064,4.1
0.954,26.5,7.4,7.9,2.2,5.5,14.1,241,2.676,0.057,3.8
25.875,21.4,7.1,8.3,1.3,5.2,18.6,107,2.446,0.111,3.3
1.041,23.8,7.6,8.9,2.6,4.2,9.3,197,2.435,0.045,2.3
1.149,18.4,7.8,8.5,1.6,3.5,13.3,196,1.877,0.045,1.9
0.532,12.2,7.3,10.8,2.4,3.8,8.3,211,2.047,0.034,2
0.749,7.2,7.7,13.4,1.4,2.6,7.2,210,2.322,0.034,1.3
0.373,5.5,7.7,14.3,1.1,2.7,6.8,217,2.507,0.04,1.6
0.325,4.7,7.8,13.4,2.8,3.6,9.9,225,2.269,0.053,1.9
0.62,9.2,7.8,12.6,1.5,3.7,13.7,217,2.259,0.048,1.6
3.344,15.3,7.5,10,1.8,4.2,17.6,147,2.353,0.054,2.1
2.973,21.5,7.8,9,1.9,5,15.9,160,1.761,0.083,2.6
0.259,24.5,7.8,8.7,3.3,7,12,230,1.696,0.116,4
3.623,23.9,7.7,9.4,2.3,5.4,13,205,3.11,0.047,3.3
1.643,26.2,7.6,7.7,1.7,4.6,12.1,195,2.349,0.04,1.9
3.654,23.3,7.7,8,1.2,4.2,12.2,182,2.038,0.035,1.8
0.387,19,8.1,10.2,1.4,4,8.6,220,1.285,0.027,1.9
0.924,14.5,7.8,9.7,1.6,4,10,232,2.371,0.032,2.1
0.256,8.9,7.7,12.7,0.6,3.1,3.3,233,2.583,0.028,1.4
0.141,4.4,8.1,15,1.7,4.1,3.1,250,2.413,0.026,2.2
1.929,7,7.7,12.6,2,5.4,10.1,200,3.522,0.037,2.8
4.632,12.3,7.5,11.3,1.4,3.9,10.6,162,3.743,0.034,2
5.016,16.1,7.5,9.9,1.5,4,11.2,143,2.391,0.038,2.1
1.264,21,7.8,9.2,2,4.7,10.3,167,1.725,0.031,2.3
0.459,25.6,7.5,7.6,3,6.6,11.5,227,2.449,0.056,4.2
7.798,25.7,7.3,7.8,2.5,5.6,12.2,197,3.339,0.077,2.9
0.304,30.8,7.9,9.2,2.3,4.3,10.6,255,1.955,0.046,2.9
5.654,22.8,7.3,8.3,0.7,3.8,7.7,171,3.673,0.04,1.8
9.819,19.4,7.3,8.5,1.3,6.4,91.3,125,2.453,0.078,1.9
0.324,13.5,7.7,10.9,1,3.4,5.2,195,2.153,0.051,0.9
0.187,5.8,8.1,14,1,3.3,2.8,220,1.968,0.065,1.7
0.51,4.8,7.5,15.1,3.7,7.7,14.4,383,4.368,0.04,5.6
0.148,7.5,7.6,11.9,3.1,7.7,25.3,418,1.893,0.041,5.3
0.136,11.9,7.7,11.3,6.8,12.2,61.3,455,1.179,0.114,7.9
0.858,17.1,7.6,8.9,8.6,15.4,43.6,419,2.403,0.143,12
0.18,22.1,7.4,7.6,5.4,14.1,36.1,397,1.709,0.107,10.2
0.667,24.9,7.7,6.3,2.3,9.1,35.7,341,1.052,0.137,7
7.199,25.8,7.7,5.9,2,9.9,36.1,337,1.665,0.17,7.8
8.355,26.5,7.5,6.4,2.2,9.2,16,296,1.631,0.252,7.4
12.85,23.1,7.5,6.4,2,8.2,34.6,152,1.652,0.21,5.5
0.385,18.1,7.8,7.9,5,9.2,30.3,224,1.215,0.138,6
0.803,9.9,7.8,10.4,7.4,11.4,27,361,2.572,0.139,7.5
0.801,4.7,7.6,12.2,3.8,7.9,18.2,380,2.809,0.086,5.8
0.708,2.7,7.7,12.6,2.5,6,10.5,425,3.935,0.048,4.7
1.595,5.2,7.8,12.1,3.8,8.1,21.6,372,5.289,0.081,5.3
1.96,12.1,8.2,10,5.6,8.8,33.5,372,3.705,0.117,4.9
0.646,16,8.2,9.3,7.1,12.4,23.4,318,2.739,0.179,6.7
0.288,22.9,8,8.2,6.3,14.4,29.1,361,1.979,0.253,9.1
1.004,25.4,7.8,7.6,3.3,11.3,44,367,1.556,0.183,7.6
7.13,27.4,7.5,6.8,2.6,11.2,26.6,268,1.747,0.26,7.3
7.233,28.1,7.4,7.4,2.2,10.5,20.8,282,1.644,0.285,7.5
1.682,25,7.5,6.7,1.9,9.4,15.6,291,0.928,0.233,6.7
3.227,18.8,7.5,7.7,3.7,10.4,26.3,267,1.788,0.175,6.7
0.683,10.7,7.6,9,5.5,12.7,24.1,420,3.363,0.164,7.7
0.612,6,7.7,10.1,6.9,10.9,20.4,436,3.17,0.125,7
0.199,3.1,7.6,9.7,2.8,8,16.1,492,1.862,0.094,5.3
0.119,6.6,7.7,9.2,3.4,8.4,25.7,497,1.726,0.097,5.5
0.504,11.2,7.7,8.5,5.4,11.2,28.4,519,3.001,0.127,7.1
1.073,17.5,7.7,7.9,6.2,12.2,30.6,399,3.161,0.157,8.1
0.649,22.3,7.6,8,3.7,11.7,26.8,334,1.69,0.181,8.2
0.151,23.8,7.7,6.9,1.6,10.8,15.4,398,1.904,0.177,8.4
1.8,26.2,7.9,7.4,1.9,12.3,16,472,1.298,0.183,9.9
25.125,23.6,7.3,7.1,1.6,9,27.8,179,2.2,0.2,6
2.483,23.4,7.8,7.6,2.3,8.9,22.8,268,1.048,0.185,6.3
2.2,17.8,7.5,9.2,4.6,10.1,25.5,324,2.585,0.167,6.8
1.006,12.8,7.9,10.3,8,13.3,36.7,371,2.475,0.189,7.7
1.783,5.7,7.7,11.6,4.4,9.1,21.3,362,5.19,0.112,5.9
0.294,5,7.9,11.9,3,6.7,15.3,434,2.958,0.066,4.8
0.273,4.5,7.9,12.9,4.6,7.3,15.8,466,2.023,0.073,5.4
0.499,10.1,8.1,12.1,6.1,11.5,31.6,475,2.666,0.132,6.8
1.483,16.9,7.8,9.5,7.3,13,36.4,354,2.657,0.182,6.9
1.141,22.4,7.8,9.3,3.9,11.3,35,319,2.035,0.222,7.8
0.082,25.1,7.8,9.1,4.5,13.3,27.1,362,1.704,0.236,9.4
3.48,25.2,7.6,8.2,2.8,11.3,36.5,358,1.988,0.103,8.3
2.049,25.7,7.6,7.3,2,9.9,14.4,415,0.922,0.118,6.7
2.894,22.6,7.5,7.3,1.8,8.9,19.7,304,0.973,0.092,5.7
0.59,17.4,7.8,8.9,3.7,9.8,14.1,397,0.967,0.095,6.4
1.116,14,7.7,8.6,6.1,12.3,33.7,523,6.981,0.126,9.5
0.417,7.2,7.7,12.6,8.2,12.5,32.8,505,4.122,0.1,9.2
0.275,3.8,7.6,12.9,3.7,8.6,42.6,506,2.482,0.073,5.7
0.868,6.8,7.8,13.3,5.9,11.1,26.8,478,3.648,0.073,8.2
4.807,13.6,8.4,11.6,6.9,12.2,59.8,291,5.751,0.139,8.9
3.847,17.5,8.5,10.2,8,13.3,52.2,279,3.084,0.116,10.1
1.387,21,7.6,7.3,5.2,11,32.2,271,1.618,0.112,7.7
0.38,26,7.6,7.2,3.4,11.2,36,407,1.301,0.097,8.3
4.077,26.1,7.2,6.7,3.5,11.9,43.1,321,1.84,0.237,7.9
0.288,31.2,7.8,6.4,1.7,10.1,31.8,372,1.456,0.243,7.4
11.76,22,7,6,2.2,10.6,43.1,184,2.746,0.136,7.9
7.978,19.5,7.2,7.4,3.8,11.7,58.8,208,2.767,0.153,6.3
0.529,13.2,7.6,11.1,7.6,12.1,47.6,378,2.622,0.086,6.3
0.45,5.8,7.8,13.8,7.5,12.4,23.9,472,3.955,0.078,9.3
0.04,5.6,7.9,14.4,0.7,3.7,0.4,331,6.074,0.009,1.7
0.026,8.7,8.4,14.7,1.5,5.3,13.3,334,6.357,0.009,2.9
0.017,13.1,8.4,13.6,1.1,4.1,4.3,328,6.185,0.01,2.2
0.288,17.3,8.6,11.5,1.7,6.1,2.7,250,4.518,0.022,3.7
0.003,23.2,9.3,12.8,1.6,4.6,1.2,277,1.794,0.01,2.9
0.007,23.3,7.2,7.1,0.8,4.2,3,268,0.768,0.087,3.6
0.694,24.6,7.4,7.8,1,6.1,7.9,194,2.379,0.077,4.4
1.406,25.3,7.8,8.3,1.8,8.7,15.8,153,3.135,0.153,6.1
0.703,22.4,7.3,8.8,1,5.1,3,161,2.968,0.061,3.7
0.158,17.3,7.6,11.8,1.1,4.6,2.4,244,5.062,0.038,3.1
0.135,10.4,7.5,13,0.9,4.5,2.2,252,7.121,0.031,2.9
0.135,4.9,7.5,14.1,0.8,3.8,1.3,242,6.24,0.029,2.6
0.109,2.6,7.4,15.2,1.7,4.6,1.4,258,8.143,0.046,3.2
0.276,4.5,7.2,14.1,1.8,4.7,2.4,212,5.778,0.051,3.2
0.256,10.4,7.5,14.7,2,5.7,2.3,206,5.197,0.053,3.3
0.377,12.4,7.7,14.2,2.8,5.6,3.8,172,4.331,0.063,3.4
0.124,20.1,7.3,11.5,3.6,6.6,4,228,4.519,0.082,3.8
0.907,23.9,7.3,10.2,2.9,8.2,29.3,196,3.649,0.183,4.9
0.486,24.8,7.1,8.3,1.4,6,5.3,182,3.258,0.085,3.8
0.071,27.5,7.4,8.8,1.3,4.7,3.8,235,1.787,0.072,3.2
0.059,21.9,7.1,9,0.8,4,3.1,257,2.432,0.05,2.7
0.195,17.5,7.3,10.4,0.9,4,4.4,231,4.364,0.051,2.5
